"X","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
1,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",6,0,-54.8051724,-68.3002544,"2021-01-20"
2,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",7,0,-54.8051724,-68.3002544,"2021-01-20"
3,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",8,0,-54.8051724,-68.3002544,"2021-01-20"
4,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",9,0,-54.8051724,-68.3002544,"2021-01-20"
5,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",10,0,-54.8051724,-68.3002544,"2021-01-20"
6,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",11,0,-54.8051724,-68.3002544,"2021-01-20"
7,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",12,0,-54.8051724,-68.3002544,"2021-01-20"
8,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",13,0,-54.8051724,-68.3002544,"2021-01-20"
9,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",14,0,-54.8051724,-68.3002544,"2021-01-20"
10,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",15,0,-54.8051724,-68.3002544,"2021-01-20"
11,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",16,0,-54.8051724,-68.3002544,"2021-01-20"
12,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",17,0,-54.8051724,-68.3002544,"2021-01-20"
13,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",18,0,-54.8051724,-68.3002544,"2021-01-20"
14,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",19,6,-54.8051724,-68.3002544,"2021-01-20"
15,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",20,18.75,-54.8051724,-68.3002544,"2021-01-20"
16,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",21,36,-54.8051724,-68.3002544,"2021-01-20"
17,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",22,42.75,-54.8051724,-68.3002544,"2021-01-20"
18,"137 Pizza amp Pasta, San Martin 137, Ushuaia","lunes",23,30.75,-54.8051724,-68.3002544,"2021-01-20"
19,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",6,0,-54.8051724,-68.3002544,"2021-01-20"
20,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",7,0,-54.8051724,-68.3002544,"2021-01-20"
21,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",8,0,-54.8051724,-68.3002544,"2021-01-20"
22,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",9,0,-54.8051724,-68.3002544,"2021-01-20"
23,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",10,0,-54.8051724,-68.3002544,"2021-01-20"
24,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",11,0,-54.8051724,-68.3002544,"2021-01-20"
25,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",12,15.75,-54.8051724,-68.3002544,"2021-01-20"
26,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",13,24.75,-54.8051724,-68.3002544,"2021-01-20"
27,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",14,23.25,-54.8051724,-68.3002544,"2021-01-20"
28,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",15,12,-54.8051724,-68.3002544,"2021-01-20"
29,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",16,0,-54.8051724,-68.3002544,"2021-01-20"
30,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",17,0,-54.8051724,-68.3002544,"2021-01-20"
31,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",18,0,-54.8051724,-68.3002544,"2021-01-20"
32,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",19,6.75,-54.8051724,-68.3002544,"2021-01-20"
33,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",20,19.5,-54.8051724,-68.3002544,"2021-01-20"
34,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",21,30,-54.8051724,-68.3002544,"2021-01-20"
35,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",22,25.5,-54.8051724,-68.3002544,"2021-01-20"
36,"137 Pizza amp Pasta, San Martin 137, Ushuaia","martes",23,12,-54.8051724,-68.3002544,"2021-01-20"
37,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",6,0,-54.8051724,-68.3002544,"2021-01-20"
38,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",7,0,-54.8051724,-68.3002544,"2021-01-20"
39,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",8,0,-54.8051724,-68.3002544,"2021-01-20"
40,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",9,0,-54.8051724,-68.3002544,"2021-01-20"
41,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",10,0,-54.8051724,-68.3002544,"2021-01-20"
42,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",11,0,-54.8051724,-68.3002544,"2021-01-20"
43,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",12,9.75,-54.8051724,-68.3002544,"2021-01-20"
44,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",13,23.25,-54.8051724,-68.3002544,"2021-01-20"
45,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",14,24,-54.8051724,-68.3002544,"2021-01-20"
46,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",15,9.75,-54.8051724,-68.3002544,"2021-01-20"
47,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",16,0,-54.8051724,-68.3002544,"2021-01-20"
48,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",17,0,-54.8051724,-68.3002544,"2021-01-20"
49,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",18,0,-54.8051724,-68.3002544,"2021-01-20"
50,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",19,6,-54.8051724,-68.3002544,"2021-01-20"
51,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",20,18.75,-54.8051724,-68.3002544,"2021-01-20"
52,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",21,32.25,-54.8051724,-68.3002544,"2021-01-20"
53,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",22,29.25,-54.8051724,-68.3002544,"2021-01-20"
54,"137 Pizza amp Pasta, San Martin 137, Ushuaia","miercoles",23,13.5,-54.8051724,-68.3002544,"2021-01-20"
55,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",6,0,-54.8051724,-68.3002544,"2021-01-20"
56,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",7,0,-54.8051724,-68.3002544,"2021-01-20"
57,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",8,0,-54.8051724,-68.3002544,"2021-01-20"
58,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",9,0,-54.8051724,-68.3002544,"2021-01-20"
59,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",10,0,-54.8051724,-68.3002544,"2021-01-20"
60,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",11,0,-54.8051724,-68.3002544,"2021-01-20"
61,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",12,18,-54.8051724,-68.3002544,"2021-01-20"
62,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",13,24.75,-54.8051724,-68.3002544,"2021-01-20"
63,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",14,20.25,-54.8051724,-68.3002544,"2021-01-20"
64,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",15,9.75,-54.8051724,-68.3002544,"2021-01-20"
65,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",16,0,-54.8051724,-68.3002544,"2021-01-20"
66,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",17,0,-54.8051724,-68.3002544,"2021-01-20"
67,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",18,0,-54.8051724,-68.3002544,"2021-01-20"
68,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",19,10.5,-54.8051724,-68.3002544,"2021-01-20"
69,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",20,26.25,-54.8051724,-68.3002544,"2021-01-20"
70,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",21,42.75,-54.8051724,-68.3002544,"2021-01-20"
71,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",22,43.5,-54.8051724,-68.3002544,"2021-01-20"
72,"137 Pizza amp Pasta, San Martin 137, Ushuaia","jueves",23,27,-54.8051724,-68.3002544,"2021-01-20"
73,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",6,0,-54.8051724,-68.3002544,"2021-01-20"
74,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",7,0,-54.8051724,-68.3002544,"2021-01-20"
75,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",8,0,-54.8051724,-68.3002544,"2021-01-20"
76,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",9,0,-54.8051724,-68.3002544,"2021-01-20"
77,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",10,0,-54.8051724,-68.3002544,"2021-01-20"
78,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",11,0,-54.8051724,-68.3002544,"2021-01-20"
79,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",12,10.5,-54.8051724,-68.3002544,"2021-01-20"
80,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",13,14.25,-54.8051724,-68.3002544,"2021-01-20"
81,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",14,12.75,-54.8051724,-68.3002544,"2021-01-20"
82,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",15,7.5,-54.8051724,-68.3002544,"2021-01-20"
83,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",16,0,-54.8051724,-68.3002544,"2021-01-20"
84,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",17,0,-54.8051724,-68.3002544,"2021-01-20"
85,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",18,0,-54.8051724,-68.3002544,"2021-01-20"
86,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",19,11.25,-54.8051724,-68.3002544,"2021-01-20"
87,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",20,26.25,-54.8051724,-68.3002544,"2021-01-20"
88,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",21,41.25,-54.8051724,-68.3002544,"2021-01-20"
89,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",22,43.5,-54.8051724,-68.3002544,"2021-01-20"
90,"137 Pizza amp Pasta, San Martin 137, Ushuaia","viernes",23,30,-54.8051724,-68.3002544,"2021-01-20"
91,"137 Pizza amp Pasta, San Martin 137, Ushuaia","sabado",6,0,-54.8051724,-68.3002544,"2021-01-20"
92,"137 Pizza amp Pasta, San Martin 137, Ushuaia","sabado",7,0,-54.8051724,-68.3002544,"2021-01-20"
93,"137 Pizza amp Pasta, San Martin 137, Ushuaia","sabado",8,0,-54.8051724,-68.3002544,"2021-01-20"
94,"137 Pizza amp Pasta, San Martin 137, Ushuaia","sabado",9,0,-54.8051724,-68.3002544,"2021-01-20"
95,"137 Pizza amp Pasta, San Martin 137, Ushuaia","sabado",10,0,-54.8051724,-68.3002544,"2021-01-20"
96,"137 Pizza amp Pasta, San Martin 137, Ushuaia","sabado",11,0,-54.8051724,-68.3002544,"2021-01-20"
97,"137 Pizza amp Pasta, San Martin 137, Ushuaia","sabado",12,18.75,-54.8051724,-68.3002544,"2021-01-20"
98,"137 Pizza amp Pasta, San Martin 137, Ushuaia","sabado",13,28.5,-54.8051724,-68.3002544,"2021-01-20"
99,"137 Pizza amp Pasta, San Martin 137, Ushuaia","sabado",14,27.75,-54.8051724,-68.3002544,"2021-01-20"
