"","x"
"1388","El Ombú, Ciudad de Buenos Aires"
"1389","Fenicia Restaurante, Ciudad de Buenos Aires"
"1390","Classic BA, Ciudad de Buenos Aires"
"1391","Luce Cocina, Ciudad de Buenos Aires"
"1392","Subway, Ciudad de Buenos Aires"
"1393","Palacio Balcarce, Ciudad de Buenos Aires"
"1394","Parrilla Bravo, Ciudad de Buenos Aires"
"1395","Ayulem Pasteleria de Autor, Ciudad de Buenos Aires"
"1396","El Quinto, Ciudad de Buenos Aires"
"1397","Le Ble Villa Crespo, Ciudad de Buenos Aires"
"1398","Velvet, Ciudad de Buenos Aires"
"1399","El Auge Hermanos, Ciudad de Buenos Aires"
"1400","El Rincon, Ciudad de Buenos Aires"
"1401","The Temple Bar, Ciudad de Buenos Aires"
"1402","Tienda Romero, Ciudad de Buenos Aires"
"1403","Burguer King, Ciudad de Buenos Aires"
"1404","Cervelar, Ciudad de Buenos Aires"
"1405","Itamae Sushi, Ciudad de Buenos Aires"
"1406","El Refuerzo Provisiones, Ciudad de Buenos Aires"
"1407","El Puntal, Ciudad de Buenos Aires"
"1408","Cafe Suarez, Ciudad de Buenos Aires"
"1409","Besar es Obligado, Ciudad de Buenos Aires"
"1410","Avellino Pizzería, Ciudad de Buenos Aires"
"1411","Cantina Don Chicho, Ciudad de Buenos Aires"
"1412","Candilejas Tango Show, Ciudad de Buenos Aires"
"1413","Cafe Relax 3, Ciudad de Buenos Aires"
"1414","La Bagueteria, Ciudad de Buenos Aires"
"1415","The Birra Lab, Ciudad de Buenos Aires"
"1416","Deniro, Ciudad de Buenos Aires"
"1417","San Gennaro, Ciudad de Buenos Aires"
"1418","Ayres de Patagonia, Ciudad de Buenos Aires"
"1419","McDonald's, Ciudad de Buenos Aires"
"1420","Bar La Academia, Ciudad de Buenos Aires"
"1421","Lo de Cholo, Ciudad de Buenos Aires"
"1422","La Reverde, Ciudad de Buenos Aires"
"1423","Los Sabios, Ciudad de Buenos Aires"
"1424","Ostara Noquería, Ciudad de Buenos Aires"
"1425","Don Gordillo, Ciudad de Buenos Aires"
"1426","Tea Connection, Ciudad de Buenos Aires"
"1427","Menenga, Ciudad de Buenos Aires"
"1428","Teglia, Ciudad de Buenos Aires"
"1429","Don fuu, Ciudad de Buenos Aires"
"1430","Tierra de Parrilleros, Ciudad de Buenos Aires"
"1431","Farinelli - Arroyo, Ciudad de Buenos Aires"
"1432","Baviera, Ciudad de Buenos Aires"
"1433","EL Puestito Del Tio, Ciudad de Buenos Aires"
"1434","Restaurante Yugane, Ciudad de Buenos Aires"
"1435","Barrel Vinos - Wine Bar, Ciudad de Buenos Aires"
"1436","Labán Patisserie, Ciudad de Buenos Aires"
"1437","Birmania, Ciudad de Buenos Aires"
"1438","Central De Pizzas, Ciudad de Buenos Aires"
"1439","El Club de la Ensalada, Ciudad de Buenos Aires"
"1440","On Tap, Ciudad de Buenos Aires"
"1441","De Simone Ramos Generales, Ciudad de Buenos Aires"
"1442","Otero Cafe, Ciudad de Buenos Aires"
"1443","Lo de Nestor, Ciudad de Buenos Aires"
"1444","Dioses, Ciudad de Buenos Aires"
"1445","KOI, Ciudad de Buenos Aires"
"1446","Ditali Pizzas &amp; Comidas, Ciudad de Buenos Aires"
"1447","M Buenos Aires Restaurant, Ciudad de Buenos Aires"
"1448","Estancia Calchaqui, Ciudad de Buenos Aires"
"1449","Bros and Hops, Ciudad de Buenos Aires"
"1450","Los Octubres, Ciudad de Buenos Aires"
"1451","Suarez, Ciudad de Buenos Aires"
"1452","Peter’s, Ciudad de Buenos Aires"
"1453","Trova Bar de Vinos, Ciudad de Buenos Aires"
"1454","Pizza Roma, Ciudad de Buenos Aires"
"1455","Confitería La Helvética, Ciudad de Buenos Aires"
"1456","Omm Bar de tapas, Ciudad de Buenos Aires"
"1457","Biblos Resto &amp; Coffee, Ciudad de Buenos Aires"
"1458","Maria de Bambi, Ciudad de Buenos Aires"
"1459","Havanna Cafetería, Ciudad de Buenos Aires"
"1460","Sushi Sensei, Ciudad de Buenos Aires"
"1461","Patios de San Telmo, Ciudad de Buenos Aires"
"1462","Gull, Ciudad de Buenos Aires"
"1463","Don Resto, Ciudad de Buenos Aires"
"1464","Le Ruelle by Valu Ramallo, Ciudad de Buenos Aires"
"1465","American Burger, Ciudad de Buenos Aires"
"1466","Dashi, Ciudad de Buenos Aires"
"1467","La Bolivar, Ciudad de Buenos Aires"
"1468","Al Galope, Ciudad de Buenos Aires"
"1469","Haru, Ciudad de Buenos Aires"
"1470","Joaco Restaurant, Ciudad de Buenos Aires"
"1471","Parrilla Jazmin, Ciudad de Buenos Aires"
"1472","Yafo Kosher, Ciudad de Buenos Aires"
"1473","The food factory downtown, Ciudad de Buenos Aires"
"1474","Parrilla El Torito, Ciudad de Buenos Aires"
"1475","Puerto del Carmen, Ciudad de Buenos Aires"
"1476","Down Town Matias, Ciudad de Buenos Aires"
"1477","Cafe Florida Street, Ciudad de Buenos Aires"
"1478","La Niña de Oro, Ciudad de Buenos Aires"
"1479","Confitería &amp; Panadería Boulevard Córdoba, Ciudad de Buenos Aires"
"1480","Casa Oro Puertas Cerradas, Ciudad de Buenos Aires"
"1481","Ubu Sanguches, Ciudad de Buenos Aires"
"1482","Mochica, Ciudad de Buenos Aires"
"1483","Pizzeria El corte, Ciudad de Buenos Aires"
"1484","La Causa Nikkei Palermo, Ciudad de Buenos Aires"
"1485","Los Floristas, Ciudad de Buenos Aires"
"1486","La Nueva Embajada, Ciudad de Buenos Aires"
"1487","El Retorno Restaurante, Ciudad de Buenos Aires"
"1488","La Floreada, Ciudad de Buenos Aires"
"1489","Tacuba Bar, Ciudad de Buenos Aires"
"1490","Paparracas, Ciudad de Buenos Aires"
"1491","Don German Empanadas, Ciudad de Buenos Aires"
"1492","Bengal Deli, Ciudad de Buenos Aires"
"1493","Accademia, Ciudad de Buenos Aires"
"1494","Kitayama, Ciudad de Buenos Aires"
"1495","Lenacha Cafeteria y Deli, Ciudad de Buenos Aires"
"1496","La Parri, Ciudad de Buenos Aires"
"1497","Romario, Ciudad de Buenos Aires"
"1498","Strange Brewing, Ciudad de Buenos Aires"
"1499","Casa Filomena, Ciudad de Buenos Aires"
"1500","La Palita, Ciudad de Buenos Aires"
"1501","Circulo de Villa Devoto, Ciudad de Buenos Aires"
"1502","La Prometida, Ciudad de Buenos Aires"
"1503","Buri Sushi, Ciudad de Buenos Aires"
"1504","Esplendor Restaurant &amp; Bar, Ciudad de Buenos Aires"
"1505","Boca a Boca Tango, Ciudad de Buenos Aires"
"1506","Bourbon Brunch &amp; Beer, Ciudad de Buenos Aires"
"1507","Green Factory, Ciudad de Buenos Aires"
"1508","Vuelta Abajo, Ciudad de Buenos Aires"
"1509","La Pituca de Boedo, Ciudad de Buenos Aires"
"1510","El Retiro at the Circulo Militar, Ciudad de Buenos Aires"
"1511","Distrito Resto, Ciudad de Buenos Aires"
"1512","Libertador 292, Ciudad de Buenos Aires"
"1513","A Fuego, Ciudad de Buenos Aires"
"1514","El Paisano Kosher House, Ciudad de Buenos Aires"
"1515","La Panera Rosa, Ciudad de Buenos Aires"
"1516","Kalimnos Sabores Gourmet, Ciudad de Buenos Aires"
"1517","Bar Varela Varelita, Ciudad de Buenos Aires"
"1518","Los Pinos, Ciudad de Buenos Aires"
"1519","Maximilian Lobby Bar &amp; Restaurant, Ciudad de Buenos Aires"
"1520","Gratitude, Ciudad de Buenos Aires"
"1521","Morante, Ciudad de Buenos Aires"
"1522","La Posada de Belgrano, Ciudad de Buenos Aires"
"1523","Lo de Juan, Ciudad de Buenos Aires"
"1524","Puerto Viejo, Ciudad de Buenos Aires"
"1525","C'est Cool, Ciudad de Buenos Aires"
"1526","Punto Pizza, Ciudad de Buenos Aires"
"1527","Restaurante 2901, Ciudad de Buenos Aires"
"1528","El Bodegon, Ciudad de Buenos Aires"
"1529","Que Nadie Sepa, Ciudad de Buenos Aires"
"1530","Puebla Antojitos Mexicanos, Ciudad de Buenos Aires"
"1531","Pizzeria Tobago, Ciudad de Buenos Aires"
"1532","Bangalore, Ciudad de Buenos Aires"
"1533","Mamma mia, Ciudad de Buenos Aires"
"1534","La Morada, Ciudad de Buenos Aires"
"1535","Maximus, Ciudad de Buenos Aires"
"1536","Sante Bar, Ciudad de Buenos Aires"
"1537","Teglia, Ciudad de Buenos Aires"
"1538","Territorio, Ciudad de Buenos Aires"
"1539","La Parilla, Ciudad de Buenos Aires"
"1540","Houdini, Ciudad de Buenos Aires"
"1541","Taco Box, Ciudad de Buenos Aires"
"1542","Cohiba Atmosphere Buenos Aires, Ciudad de Buenos Aires"
"1543","Da Mingo, Ciudad de Buenos Aires"
"1544","Muffy's Vegertariana, Ciudad de Buenos Aires"
"1545","Pizzeria San Miguel, Ciudad de Buenos Aires"
"1546","Plaza Espana, Ciudad de Buenos Aires"
"1547","Heladería Roma, Ciudad de Buenos Aires"
"1548","AL Rayan, Ciudad de Buenos Aires"
"1549","Resto Garbo, Ciudad de Buenos Aires"
"1550","Cafe de Madres de Plaza de Mayo, Ciudad de Buenos Aires"
"1551","Sanchez y Sanchez, Ciudad de Buenos Aires"
"1552","Plaza Del Sol, Ciudad de Buenos Aires"
"1553","De la Fragata, Ciudad de Buenos Aires"
"1554","Scuzi, Ciudad de Buenos Aires"
"1555","Locos x el futbol, Ciudad de Buenos Aires"
"1556","Syrian Cultural Club Restaurant, Ciudad de Buenos Aires"
"1557","Alameda Costanera Sur, Ciudad de Buenos Aires"
"1558","Barbakoa, Ciudad de Buenos Aires"
"1559","Bodega Campo, Ciudad de Buenos Aires"
"1560","Shiva Mangalam, Ciudad de Buenos Aires"
"1561","Core, Ciudad de Buenos Aires"
"1562","Solera del Parque, Ciudad de Buenos Aires"
"1563","Los Amigos de Juan - Tribunales, Ciudad de Buenos Aires"
"1564","La Azulada, Ciudad de Buenos Aires"
"1565","Arribo Café, Ciudad de Buenos Aires"
"1566","McDonald's, Ciudad de Buenos Aires"
"1567","Lo de Carlitos, Ciudad de Buenos Aires"
"1568","Margarita, Ciudad de Buenos Aires"
"1569","Baum San Telmo, Ciudad de Buenos Aires"
"1570","Planes Bistro, Ciudad de Buenos Aires"
"1571","La Paila, Ciudad de Buenos Aires"
"1572","Debar, Ciudad de Buenos Aires"
"1573","La Continental, Ciudad de Buenos Aires"
"1574","Tiempo de Gitanos - Tablao Flamenco, Ciudad de Buenos Aires"
"1575","Cafe Del Mercado, Ciudad de Buenos Aires"
"1576","La Americana, Ciudad de Buenos Aires"
"1577","Izakaya el Bar de Sushi POP, Ciudad de Buenos Aires"
"1578","El Bohemio, Ciudad de Buenos Aires"
"1579","El Roncal, Ciudad de Buenos Aires"
"1580","Sofia, Ciudad de Buenos Aires"
"1581","Luciano Bar, Ciudad de Buenos Aires"
"1582","Las Mil y Una Noches, Ciudad de Buenos Aires"
"1583","Lopecito, Ciudad de Buenos Aires"
"1584","El Cisne, Ciudad de Buenos Aires"
"1585","Guaica, Ciudad de Buenos Aires"
"1586","Panaderia y Confiteria Europa, Ciudad de Buenos Aires"
"1587","Mercado Del Centro, Ciudad de Buenos Aires"
"1588","Pizzeria Marechiare, Ciudad de Buenos Aires"
"1589","Roldán Buenos Aires, Ciudad de Buenos Aires"
"1590","Almacen de Pizzas, Ciudad de Buenos Aires"
"1591","Bar San Juan, Ciudad de Buenos Aires"
"1592","Tea Connection, Ciudad de Buenos Aires"
"1593","Sasafras Restaurant Parrilla, Ciudad de Buenos Aires"
"1594","Restaurant Robesa, Ciudad de Buenos Aires"
"1595","Almacén La Siesta, Ciudad de Buenos Aires"
"1596","Akira Nikkei Nuñez, Ciudad de Buenos Aires"
"1597","El Cisne Blanco, Ciudad de Buenos Aires"
"1598","Rias Baixas Restaurante, Ciudad de Buenos Aires"
"1599","La Princesa Cafe, Ciudad de Buenos Aires"
"1600","H Gourmet, Ciudad de Buenos Aires"
"1601","Beggars Caballito, Ciudad de Buenos Aires"
"1602","El Podio Helados, Ciudad de Buenos Aires"
"1603","Totin, Ciudad de Buenos Aires"
"1604","Lo de Fede, Ciudad de Buenos Aires"
"1605","Etre Restaurant, Ciudad de Buenos Aires"
"1606","Cafe de la Fundacion, Ciudad de Buenos Aires"
"1607","La Parraca, Ciudad de Buenos Aires"
"1608","Klimt, Ciudad de Buenos Aires"
"1609","Casas Viejas, Ciudad de Buenos Aires"
"1610","Restaurant Flor De Mayo, Ciudad de Buenos Aires"
"1611","Terrazas Bistro, Ciudad de Buenos Aires"
"1612","Snatch Bar, Ciudad de Buenos Aires"
"1613","Buller Brewing, Ciudad de Buenos Aires"
"1614","Basilio Parrilla &amp; Resto, Ciudad de Buenos Aires"
"1615","Mi Rincon, Ciudad de Buenos Aires"
"1616","Restaurante Cabildo, Ciudad de Buenos Aires"
"1617","Kiku Sushi &amp; Seafood, Ciudad de Buenos Aires"
"1618","michelangelo, Ciudad de Buenos Aires"
"1619","Pizza Calda, Ciudad de Buenos Aires"
"1620","Hotel Pulitzer, Ciudad de Buenos Aires"
"1621","De Los Frutos, Ciudad de Buenos Aires"
"1622","Macabras Cine Bar, Ciudad de Buenos Aires"
"1623","8 Esquinas, Ciudad de Buenos Aires"
"1624","De Cata, Ciudad de Buenos Aires"
"1625","Freddo, Ciudad de Buenos Aires"
"1626","Las Medialunas Del Abuelo, Ciudad de Buenos Aires"
"1627","AQUA &amp; FARINA, Ciudad de Buenos Aires"
"1628","Starbucks, Ciudad de Buenos Aires"
"1629","Cafe Tribunales, Ciudad de Buenos Aires"
"1630","Marui Sushi &amp; Cocina Japonesa, Ciudad de Buenos Aires"
"1631","El Zeppelin de Maschwitz, Ciudad de Buenos Aires"
"1632","Vodevil, Ciudad de Buenos Aires"
"1633","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires"
"1634","Voulez Vous? Brasserie Francaise, Ciudad de Buenos Aires"
"1635","Montecarlo Bar Notable, Ciudad de Buenos Aires"
"1636","Las Patriotas, Ciudad de Buenos Aires"
"1637","Don Fermin, Ciudad de Buenos Aires"
"1638","Carniceria, Ciudad de Buenos Aires"
"1639","Cowi, Ciudad de Buenos Aires"
"1640","Pancho Gourmet, Ciudad de Buenos Aires"
"1641","Almacén de Pizzas, Ciudad de Buenos Aires"
"1642","Cocina Discreta, Ciudad de Buenos Aires"
"1643","No Tan Santos, Ciudad de Buenos Aires"
"1644","Pizzerìa San Jose, Ciudad de Buenos Aires"
"1645","Gallo Negro, Ciudad de Buenos Aires"
"1646","Bombori, Ciudad de Buenos Aires"
"1647","Terraza, Ciudad de Buenos Aires"
"1648","Centro Okinawense, Ciudad de Buenos Aires"
"1649","Burger Mood, Ciudad de Buenos Aires"
"1650","Green Eat, Ciudad de Buenos Aires"
"1651","Art District Bar and Lounge, Ciudad de Buenos Aires"
"1652","Empanadas Morita, Ciudad de Buenos Aires"
"1653","Dulce y Salado Gourmet con Sazón Venezolano, Ciudad de Buenos Aires"
"1654","Adorado Bar, Ciudad de Buenos Aires"
"1655","Sí, Pastrón, Ciudad de Buenos Aires"
"1656","La Perla Bar, Ciudad de Buenos Aires"
"1657","Bierwelt, Ciudad de Buenos Aires"
"1658","La Licorería del Mercado, Ciudad de Buenos Aires"
"1659","Crocca, Ciudad de Buenos Aires"
"1660","Atilano, Ciudad de Buenos Aires"
"1661","Ambrosio Pizza Resto, Ciudad de Buenos Aires"
"1662","Eva Bistro, Ciudad de Buenos Aires"
"1663","Burgio, Ciudad de Buenos Aires"
"1664","Magendie Natural Science, Ciudad de Buenos Aires"
"1665","Mi Parrilla, Ciudad de Buenos Aires"
"1666","Volks Bier Bar, Ciudad de Buenos Aires"
"1667","Café Martinez, Ciudad de Buenos Aires"
"1668","Casa de Cucho, Ciudad de Buenos Aires"
"1669","Luxenburger, Ciudad de Buenos Aires"
"1670","Thomas y Heredia Parrilla, Ciudad de Buenos Aires"
"1671","Parrilla Di Carlo, Ciudad de Buenos Aires"
"1672","Bagatelle, Ciudad de Buenos Aires"
"1673","La Esmeralda, Ciudad de Buenos Aires"
"1674","Maki Sushi, Ciudad de Buenos Aires"
"1675","Los Recuerdos, Ciudad de Buenos Aires"
"1676","Darsena Bar, Ciudad de Buenos Aires"
"1677","le bar, Ciudad de Buenos Aires"
"1678","Il Quotidiano, Ciudad de Buenos Aires"
"1679","Negroni, Ciudad de Buenos Aires"
"1680","Emily Daniels Bar &amp; Deco, Ciudad de Buenos Aires"
"1681","Restaurante Lo Nuestro Patio Bullrich, Ciudad de Buenos Aires"
"1682","Canté Pri, Bar de Chicos, Ciudad de Buenos Aires"
"1683","Bar Seddon, Ciudad de Buenos Aires"
"1684","Akira Sushi, Ciudad de Buenos Aires"
"1685","Cervecería Stammtisch, Ciudad de Buenos Aires"
"1686","Don Valentin Restaurante y Cafe, Ciudad de Buenos Aires"
"1687","Helena, Ciudad de Buenos Aires"
"1688","Ladobueno Helados &amp; Patisserie, Ciudad de Buenos Aires"
"1689","Tulio, Ciudad de Buenos Aires"
"1690","Izakaya El Bar de Sushi POP, Ciudad de Buenos Aires"
"1691","Lo de Rosendo, Ciudad de Buenos Aires"
"1692","Moliére Café, Ciudad de Buenos Aires"
"1693","Les Croquants, Ciudad de Buenos Aires"
"1694","El Ombu de Recoleta, Ciudad de Buenos Aires"
"1695","Cerveza Hormiga Negra Caballito, Ciudad de Buenos Aires"
"1696","Boccatina, Ciudad de Buenos Aires"
"1697","Naranjo y Flor, Ciudad de Buenos Aires"
"1698","Patio Japones, Ciudad de Buenos Aires"
"1699","Kary's burger class, Ciudad de Buenos Aires"
"1700","Confiteria La Esmeralda, Ciudad de Buenos Aires"
"1701","Il Vero Fiorino, Ciudad de Buenos Aires"
"1702","Harper Juice &amp; Coffee Store, Ciudad de Buenos Aires"
"1703","Teatro Cena Tango Show, Ciudad de Buenos Aires"
"1704","Manzana de Las Luces, Ciudad de Buenos Aires"
"1705","Fresco, Ciudad de Buenos Aires"
"1706","Si No Corro Me Pizza, Ciudad de Buenos Aires"
"1707","Babel - Resto Bar, Ciudad de Buenos Aires"
"1708","Restaurante Sociedad Rural Argentina, Ciudad de Buenos Aires"
"1709","Suculenta, Ciudad de Buenos Aires"
"1710","The Pelicula, Ciudad de Buenos Aires"
"1711","Parrilla Lo de Chuni, Ciudad de Buenos Aires"
"1712","Ladobueno Patisserie &amp; Cafe, Ciudad de Buenos Aires"
"1713","Reggiani, Ciudad de Buenos Aires"
"1714","El Bodegon de Ayacucho, Ciudad de Buenos Aires"
"1715","La Cantina de Hugo, Ciudad de Buenos Aires"
"1716","Don Domingo, Ciudad de Buenos Aires"
"1717","Cafe Martinez, Ciudad de Buenos Aires"
"1718","Lo de Rita, Ciudad de Buenos Aires"
"1719","La Luciana Resto, Ciudad de Buenos Aires"
"1720","Social Pizza, Ciudad de Buenos Aires"
"1721","Borges 1975, Ciudad de Buenos Aires"
"1722","Cho Restaurant, Ciudad de Buenos Aires"
"1723","Biblos Restó &amp; Coffee, Ciudad de Buenos Aires"
"1724","DRAFT by MyBeer, Ciudad de Buenos Aires"
"1725","Pepo Pepona, Ciudad de Buenos Aires"
"1726","Hui Yang Xuan, Ciudad de Buenos Aires"
"1727","Johann, Ciudad de Buenos Aires"
"1728","El Placio de la Papa Frita, Ciudad de Buenos Aires"
"1729","Don Diego, Ciudad de Buenos Aires"
"1730","La Chacrita, Ciudad de Buenos Aires"
"1731","Tetuan Brasero Marroqui, Ciudad de Buenos Aires"
"1732","Obi bar, Ciudad de Buenos Aires"
"1733","Kirie Music Club, Ciudad de Buenos Aires"
"1734","Manolo, Ciudad de Buenos Aires"
"1735","ATodoDisco Resto, Ciudad de Buenos Aires"
"1736","La Esquina Del Virrey, Ciudad de Buenos Aires"
"1737","Saint Moritz, Ciudad de Buenos Aires"
"1738","Victoria Impala Restaurante, Ciudad de Buenos Aires"
"1739","La Boqueria Grill &amp; Beer, Ciudad de Buenos Aires"
"1740","Habibi Cocina árabe, Ciudad de Buenos Aires"
"1741","El Viejo Bodegón, Ciudad de Buenos Aires"
"1742","Exedra, Ciudad de Buenos Aires"
"1743","Cafe Maipu, Ciudad de Buenos Aires"
"1744","Bar portuario, Ciudad de Buenos Aires"
"1745","De Los Patriotas, Ciudad de Buenos Aires"
"1746","Los Arribeños Parrilla, Ciudad de Buenos Aires"
"1747","A los Bifes San Telmo, Ciudad de Buenos Aires"
"1748","Boniato Pizza, Ciudad de Buenos Aires"
"1749","Julia, Ciudad de Buenos Aires"
"1750","Carlitos LNG, Ciudad de Buenos Aires"
"1751","Alaire Terrace Bar, Ciudad de Buenos Aires"
"1752","Azit chicken bar, Ciudad de Buenos Aires"
"1753","Pamplona Restaurante, Ciudad de Buenos Aires"
"1754","Elisa La Saltenita, Ciudad de Buenos Aires"
"1755","Bar Via 71, Ciudad de Buenos Aires"
"1756","Social Parrilla Bodegon, Ciudad de Buenos Aires"
"1757","Clapton, Ciudad de Buenos Aires"
"1758","La Buena Cocina, Ciudad de Buenos Aires"
"1759","Cheile Cafe, Ciudad de Buenos Aires"
"1760","Restaurante Laurak Bat, Ciudad de Buenos Aires"
"1761","Fresco, Ciudad de Buenos Aires"
"1762","NikkoSushi, Ciudad de Buenos Aires"
"1763","Berretin, Ciudad de Buenos Aires"
"1764","Jolie Bistro, Ciudad de Buenos Aires"
"1765","Brasa viva, Ciudad de Buenos Aires"
"1766","Le Blé, Ciudad de Buenos Aires"
"1767","Regionale Trattoria, Ciudad de Buenos Aires"
"1768","Zurich Confiteria, Ciudad de Buenos Aires"
"1769","Salumeria RAGNI, Ciudad de Buenos Aires"
"1770","Bastardo, Ciudad de Buenos Aires"
"1771","Confiteria Antigua Belgrano, Ciudad de Buenos Aires"
"1772","Oliver's Bar, Ciudad de Buenos Aires"
"1773","Vasalissa Chocolatier, Ciudad de Buenos Aires"
"1774","Festival, Ciudad de Buenos Aires"
"1775","Havanna Cafe, Ciudad de Buenos Aires"
"1776","SEGUNDO, Ciudad de Buenos Aires"
"1777","Cantares Tablao Flamenco, Ciudad de Buenos Aires"
"1778","Temple Craft Madero, Ciudad de Buenos Aires"
"1779","Costa Verde, Ciudad de Buenos Aires"
"1780","Piccadely, Ciudad de Buenos Aires"
"1781","Club Americano de Buenos Aires, Ciudad de Buenos Aires"
"1782","Solo Pescado, Ciudad de Buenos Aires"
"1783","Fabrica de Pastas, Ciudad de Buenos Aires"
"1784","Enrique Tomás, Ciudad de Buenos Aires"
"1785","Roll'in Luí Alimentos, Ciudad de Buenos Aires"
"1786","Restaurante Cafe Belen, Ciudad de Buenos Aires"
"1787","La Cantina de mi Tio, Ciudad de Buenos Aires"
"1788","Bombonería Corso, Ciudad de Buenos Aires"
"1789","La Choppería, Ciudad de Buenos Aires"
"1790","Saint Patrick, Ciudad de Buenos Aires"
"1791","Parecchio Pizza &amp; Ristorantino, Ciudad de Buenos Aires"
"1792","Bodega Cervecera, Ciudad de Buenos Aires"
"1793","Parrilla El Gaucho de Lavalle, Ciudad de Buenos Aires"
"1794","La Continental, Ciudad de Buenos Aires"
"1795","Suckewer &amp; Asociados, Ciudad de Buenos Aires"
"1796","Almacen 1249, Ciudad de Buenos Aires"
"1797","Wunderbar, Ciudad de Buenos Aires"
"1798","Tilo, Ciudad de Buenos Aires"
"1799","Farabute Restaurante &amp; Terraza, Ciudad de Buenos Aires"
"1800","Till, Ciudad de Buenos Aires"
"1801","1745 BAR RESTO, Ciudad de Buenos Aires"
"1802","Reggina Ristorante, Ciudad de Buenos Aires"
"1803","El Trébol, Ciudad de Buenos Aires"
"1804","Burger King, Ciudad de Buenos Aires"
"1805","Club Mercedes, Ciudad de Buenos Aires"
"1806","Croxi, Ciudad de Buenos Aires"
"1807","San Thelma, Ciudad de Buenos Aires"
"1808","Casa China, Ciudad de Buenos Aires"
"1809","La brochette, Ciudad de Buenos Aires"
"1810","Baking ba, Ciudad de Buenos Aires"
"1811","Restaurante Dora, Ciudad de Buenos Aires"
"1812","ABC, Ciudad de Buenos Aires"
"1813","CONFITERIA LAS ESCLAVAS, Ciudad de Buenos Aires"
"1814","ALDO'S Restorán &amp; Vinoteca, Ciudad de Buenos Aires"
"1815","La Veneziana, Ciudad de Buenos Aires"
"1816","Wok Express, Ciudad de Buenos Aires"
"1817","Viva Lugano resto, Ciudad de Buenos Aires"
"1818","Pinuccio &amp; Figli, Ciudad de Buenos Aires"
"1819","La Waffleria, Ciudad de Buenos Aires"
"1820","Un Dulce Permiso, Ciudad de Buenos Aires"
"1821","Arroyo Towers, Ciudad de Buenos Aires"
"1822","Pizzeria Buenos Muchachos, Ciudad de Buenos Aires"
"1823","Almacén Comunal, Ciudad de Buenos Aires"
"1824","Young Eventos, Ciudad de Buenos Aires"
"1825","Memorias, Ciudad de Buenos Aires"
"1826","El Salmon II, Ciudad de Buenos Aires"
"1827","Krakow Resto Palermo, Ciudad de Buenos Aires"
"1828","Vanilla Food, Ciudad de Buenos Aires"
"1829","Paja Rota, Ciudad de Buenos Aires"
"1830","Cinco Corderos, Ciudad de Buenos Aires"
"1831","Imperio, Ciudad de Buenos Aires"
"1832","La Nueva Gata Alegría, Ciudad de Buenos Aires"
"1833","Mamani, Ciudad de Buenos Aires"
"1834","La Campana Bar de Letras, Ciudad de Buenos Aires"
"1835","La Especialista, Ciudad de Buenos Aires"
"1836","Sky Bar, Ciudad de Buenos Aires"
"1837","Mill, Ciudad de Buenos Aires"
"1838","Biutiful Belgrano, Ciudad de Buenos Aires"
"1839","Los Cocos, Ciudad de Buenos Aires"
"1840","Casa de Cervezas y Picadas, Ciudad de Buenos Aires"
"1841","Mosto Wine &amp; Bar, Ciudad de Buenos Aires"
"1842","M. Salumería, Ciudad de Buenos Aires"
"1843","Postavecchia, Ciudad de Buenos Aires"
"1844","Antigua Querencia, Ciudad de Buenos Aires"
"1845","Luna Del Sur, Ciudad de Buenos Aires"
"1846","EL Club de la Milanesa, Ciudad de Buenos Aires"
"1847","Los Lenos Grill, Ciudad de Buenos Aires"
"1848","Osteria de los Paoletti, Ciudad de Buenos Aires"
"1849","Gambino, Ciudad de Buenos Aires"
"1850","Nonna Marieta, Ciudad de Buenos Aires"
"1851","Rincon Norteno, Ciudad de Buenos Aires"
"1852","Restaurant Pigalle, Ciudad de Buenos Aires"
"1853","Mocca Mousse, Ciudad de Buenos Aires"
"1854","Brunette, Ciudad de Buenos Aires"
"1855","Fabric Nikkei &amp; Sushi Bar, Ciudad de Buenos Aires"
"1856","Pizzicato, Ciudad de Buenos Aires"
"1857","Green Eat, Ciudad de Buenos Aires"
"1858","Grillo's, Ciudad de Buenos Aires"
"1859","Harmony Pizza &amp; Cafe Restaurant, Ciudad de Buenos Aires"
"1860","Batacazo Bistro, Ciudad de Buenos Aires"
"1861","Viejo Mundo, Ciudad de Buenos Aires"
"1862","Raslok, Ciudad de Buenos Aires"
"1863","Brasileirinho, Ciudad de Buenos Aires"
"1864","Ferreiro, Ciudad de Buenos Aires"
"1865","La Casita China, Ciudad de Buenos Aires"
"1866","Bow, Ciudad de Buenos Aires"
"1867","La Parrilla, Ciudad de Buenos Aires"
"1868","Caffe Del Doge, Ciudad de Buenos Aires"
"1869","Taberna Calle Fresca, Ciudad de Buenos Aires"
"1870","Burger King, Ciudad de Buenos Aires"
"1871","Pizza Taragüi ll, Ciudad de Buenos Aires"
"1872","La Barata, Ciudad de Buenos Aires"
"1873","La Esperanza de los Ascurra, Ciudad de Buenos Aires"
"1874","Praline Cakes, Ciudad de Buenos Aires"
"1875","Street Market, Ciudad de Buenos Aires"
"1876","Sensei Sushi, Ciudad de Buenos Aires"
"1877","Helados Dylan, Ciudad de Buenos Aires"
"1878","Catalinas, Ciudad de Buenos Aires"
"1879","Oro y Candido, Ciudad de Buenos Aires"
"1880","Ninã Bonita, Ciudad de Buenos Aires"
