"","x"
"116","Los Talas del Entrerriano, Ciudad de Buenos Aires"
"117","Cafe San Juan la Cantina, Ciudad de Buenos Aires"
"118","Piegari Ristorante, Ciudad de Buenos Aires"
"119","Cafe Rivas, Ciudad de Buenos Aires"
"120","Hell's Pizza, Ciudad de Buenos Aires"
"121","Il Fratello Ristorante, Ciudad de Buenos Aires"
"122","La Cava del Querandi, Ciudad de Buenos Aires"
"123","La Carniceria, Ciudad de Buenos Aires"
"124","Corte Comedor, Ciudad de Buenos Aires"
"125","Norte, Ciudad de Buenos Aires"
"126","Piegari Carnes, Ciudad de Buenos Aires"
"127","Mishiguene, Ciudad de Buenos Aires"
"128","Buenos Aires Verde, Ciudad de Buenos Aires"
"129","Tanta, Ciudad de Buenos Aires"
"130","La Parolaccia, Ciudad de Buenos Aires"
"131","Restaurante Puerto Cristal, Ciudad de Buenos Aires"
"132","el ferroviario, Ciudad de Buenos Aires"
"133","Victoria Brown Coffee and Bar, Ciudad de Buenos Aires"
"134","Peron Peron Resto Bar, Ciudad de Buenos Aires"
"135","Oak Bar, Ciudad de Buenos Aires"
"136","La Conga, Ciudad de Buenos Aires"
"137","El Refuerzo, Ciudad de Buenos Aires"
"138","SHOUT Brasas &amp; Drinks, Ciudad de Buenos Aires"
"139","Brandon, Ciudad de Buenos Aires"
"140","Peru Deli, Ciudad de Buenos Aires"
"141","Gran Parrilla del Plata, Ciudad de Buenos Aires"
"142","La Choza de Gascón, Ciudad de Buenos Aires"
"143","Paris Burger, Ciudad de Buenos Aires"
"144","El Federal Restaurante, Ciudad de Buenos Aires"
"145","Jardín de Invierno, Ciudad de Buenos Aires"
"146","Los 36 Billares, Ciudad de Buenos Aires"
"147","Niño Gordo, Ciudad de Buenos Aires"
"148","Happening, Ciudad de Buenos Aires"
"149","El Mirasol del Puerto, Ciudad de Buenos Aires"
"150","Restaurant Contraluz, Ciudad de Buenos Aires"
"151","Salgado Alimentos, Ciudad de Buenos Aires"
"152","Restaurante Oviedo, Ciudad de Buenos Aires"
"153","Siamo nel Forno, Ciudad de Buenos Aires"
"154","Gardiner, Ciudad de Buenos Aires"
"155","Villegas, Ciudad de Buenos Aires"
"156","Tancat, Ciudad de Buenos Aires"
"157","Lobby Bar, Ciudad de Buenos Aires"
"158","Restaurante Centro Asturiano de Buenos Aires, Ciudad de Buenos Aires"
"159","Hierba Buena, Ciudad de Buenos Aires"
"160","Le Famiglie, Ciudad de Buenos Aires"
"161","Cabaña Las Lilas, Ciudad de Buenos Aires"
"162","Restaurante Palacio Espanol, Ciudad de Buenos Aires"
"163","La Rambla, Ciudad de Buenos Aires"
"164","La Dorita de Palermo, Ciudad de Buenos Aires"
"165","Verne Club, Ciudad de Buenos Aires"
"166","La Madonnina, Ciudad de Buenos Aires"
"167","Club Sueco, Ciudad de Buenos Aires"
"168","Sagardi, Ciudad de Buenos Aires"
"169","Broccolino, Ciudad de Buenos Aires"
"170","Aldo's Restoran Vinoteca, Ciudad de Buenos Aires"
"171","Dashi, Ciudad de Buenos Aires"
"172","Il Materello, Ciudad de Buenos Aires"
"173","Fujisan, Ciudad de Buenos Aires"
"174","Cafe San Juan, Ciudad de Buenos Aires"
"175","878, Ciudad de Buenos Aires"
