"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","anses villa urquiza","miércoles",6,0,2021-01-06
"2","anses villa urquiza","miércoles",7,0,2021-01-06
"3","anses villa urquiza","miércoles",8,40.5,2021-01-06
"4","anses villa urquiza","miércoles",9,63.75,2021-01-06
"5","anses villa urquiza","miércoles",10,70.5,2021-01-06
"6","anses villa urquiza","miércoles",11,67.5,2021-01-06
"7","anses villa urquiza","miércoles",12,69,2021-01-06
"8","anses villa urquiza","miércoles",13,65.25,2021-01-06
"9","anses villa urquiza","miércoles",14,0,2021-01-06
"10","anses villa urquiza","miércoles",15,0,2021-01-06
"11","anses villa urquiza","miércoles",16,0,2021-01-06
"12","anses villa urquiza","miércoles",17,0,2021-01-06
"13","anses villa urquiza","miércoles",18,0,2021-01-06
"14","anses villa urquiza","miércoles",19,0,2021-01-06
"15","anses villa urquiza","miércoles",20,0,2021-01-06
"16","anses villa urquiza","miércoles",21,0,2021-01-06
"17","anses villa urquiza","miércoles",22,0,2021-01-06
"18","anses villa urquiza","miércoles",23,0,2021-01-06
