"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","sportclub cabildo","miércoles",6,0,2021-01-06
"2","sportclub cabildo","miércoles",7,4.5,2021-01-06
"3","sportclub cabildo","miércoles",8,18.75,2021-01-06
"4","sportclub cabildo","miércoles",9,27.75,2021-01-06
"5","sportclub cabildo","miércoles",10,27.75,2021-01-06
"6","sportclub cabildo","miércoles",11,23.25,2021-01-06
"7","sportclub cabildo","miércoles",12,18.75,2021-01-06
"8","sportclub cabildo","miércoles",13,23.25,2021-01-06
"9","sportclub cabildo","miércoles",14,23.25,2021-01-06
"10","sportclub cabildo","miércoles",15,23.25,2021-01-06
"11","sportclub cabildo","miércoles",16,18.75,2021-01-06
"12","sportclub cabildo","miércoles",17,9,2021-01-06
"13","sportclub cabildo","miércoles",18,4.5,2021-01-06
"14","sportclub cabildo","miércoles",19,0,2021-01-06
"15","sportclub cabildo","miércoles",20,0,2021-01-06
"16","sportclub cabildo","miércoles",21,0,2021-01-06
"17","sportclub cabildo","miércoles",22,4.5,2021-01-06
"18","sportclub cabildo","miércoles",23,0,2021-01-06
