"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","taberna del viejo lobo ushuaia","martes",6,0,2021-01-15
"2","taberna del viejo lobo ushuaia","martes",7,0,2021-01-15
"3","taberna del viejo lobo ushuaia","martes",8,0,2021-01-15
"4","taberna del viejo lobo ushuaia","martes",9,0,2021-01-15
"5","taberna del viejo lobo ushuaia","martes",10,0,2021-01-15
"6","taberna del viejo lobo ushuaia","martes",11,0,2021-01-15
"7","taberna del viejo lobo ushuaia","martes",12,16.5,2021-01-15
"8","taberna del viejo lobo ushuaia","martes",13,21,2021-01-15
"9","taberna del viejo lobo ushuaia","martes",14,25.5,2021-01-15
"10","taberna del viejo lobo ushuaia","martes",15,27.75,2021-01-15
"11","taberna del viejo lobo ushuaia","martes",16,27.75,2021-01-15
"12","taberna del viejo lobo ushuaia","martes",17,25.5,2021-01-15
"13","taberna del viejo lobo ushuaia","martes",18,21.75,2021-01-15
"14","taberna del viejo lobo ushuaia","martes",19,18.75,2021-01-15
"15","taberna del viejo lobo ushuaia","martes",20,18.75,2021-01-15
"16","taberna del viejo lobo ushuaia","martes",21,25.5,2021-01-15
"17","taberna del viejo lobo ushuaia","martes",22,33,2021-01-15
"18","taberna del viejo lobo ushuaia","martes",23,30.75,2021-01-15
"19","taberna del viejo lobo ushuaia","martes",24,18.75,2021-01-15
"20","taberna del viejo lobo ushuaia","miercoles",6,0,2021-01-15
"21","taberna del viejo lobo ushuaia","miercoles",7,0,2021-01-15
"22","taberna del viejo lobo ushuaia","miercoles",8,0,2021-01-15
"23","taberna del viejo lobo ushuaia","miercoles",9,0,2021-01-15
"24","taberna del viejo lobo ushuaia","miercoles",10,0,2021-01-15
"25","taberna del viejo lobo ushuaia","miercoles",11,0,2021-01-15
"26","taberna del viejo lobo ushuaia","miercoles",12,12,2021-01-15
"27","taberna del viejo lobo ushuaia","miercoles",13,15,2021-01-15
"28","taberna del viejo lobo ushuaia","miercoles",14,18.75,2021-01-15
"29","taberna del viejo lobo ushuaia","miercoles",15,21,2021-01-15
"30","taberna del viejo lobo ushuaia","miercoles",16,22.5,2021-01-15
"31","taberna del viejo lobo ushuaia","miercoles",17,21.75,2021-01-15
"32","taberna del viejo lobo ushuaia","miercoles",18,21,2021-01-15
"33","taberna del viejo lobo ushuaia","miercoles",19,21,2021-01-15
"34","taberna del viejo lobo ushuaia","miercoles",20,29.25,2021-01-15
"35","taberna del viejo lobo ushuaia","miercoles",21,40.5,2021-01-15
"36","taberna del viejo lobo ushuaia","miercoles",22,41.25,2021-01-15
"37","taberna del viejo lobo ushuaia","miercoles",23,26.25,2021-01-15
"38","taberna del viejo lobo ushuaia","miercoles",24,10.5,2021-01-15
"39","taberna del viejo lobo ushuaia","jueves",6,0,2021-01-15
"40","taberna del viejo lobo ushuaia","jueves",7,0,2021-01-15
"41","taberna del viejo lobo ushuaia","jueves",8,0,2021-01-15
