"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","Paseo del fuego shopping ushuaia","lunes",6,0,2021-01-15
"2","Paseo del fuego shopping ushuaia","lunes",7,0,2021-01-15
"3","Paseo del fuego shopping ushuaia","lunes",8,0,2021-01-15
"4","Paseo del fuego shopping ushuaia","lunes",9,0,2021-01-15
"5","Paseo del fuego shopping ushuaia","lunes",10,0,2021-01-15
"6","Paseo del fuego shopping ushuaia","lunes",11,23.25,2021-01-15
"7","Paseo del fuego shopping ushuaia","lunes",12,33,2021-01-15
"8","Paseo del fuego shopping ushuaia","lunes",13,40.5,2021-01-15
"9","Paseo del fuego shopping ushuaia","lunes",14,43.5,2021-01-15
"10","Paseo del fuego shopping ushuaia","lunes",15,44.25,2021-01-15
"11","Paseo del fuego shopping ushuaia","lunes",16,45.75,2021-01-15
"12","Paseo del fuego shopping ushuaia","lunes",17,51,2021-01-15
"13","Paseo del fuego shopping ushuaia","lunes",18,57,2021-01-15
"14","Paseo del fuego shopping ushuaia","lunes",19,56.25,2021-01-15
"15","Paseo del fuego shopping ushuaia","lunes",20,46.5,2021-01-15
"16","Paseo del fuego shopping ushuaia","lunes",21,0,2021-01-15
"17","Paseo del fuego shopping ushuaia","lunes",22,0,2021-01-15
"18","Paseo del fuego shopping ushuaia","lunes",23,0,2021-01-15
"19","Paseo del fuego shopping ushuaia","martes",6,0,2021-01-15
"20","Paseo del fuego shopping ushuaia","martes",7,0,2021-01-15
"21","Paseo del fuego shopping ushuaia","martes",8,0,2021-01-15
"22","Paseo del fuego shopping ushuaia","martes",9,0,2021-01-15
"23","Paseo del fuego shopping ushuaia","martes",10,0,2021-01-15
"24","Paseo del fuego shopping ushuaia","martes",11,23.25,2021-01-15
"25","Paseo del fuego shopping ushuaia","martes",12,31.5,2021-01-15
"26","Paseo del fuego shopping ushuaia","martes",13,36,2021-01-15
"27","Paseo del fuego shopping ushuaia","martes",14,36.75,2021-01-15
"28","Paseo del fuego shopping ushuaia","martes",15,37.5,2021-01-15
"29","Paseo del fuego shopping ushuaia","martes",16,42,2021-01-15
"30","Paseo del fuego shopping ushuaia","martes",17,48.75,2021-01-15
"31","Paseo del fuego shopping ushuaia","martes",18,54.75,2021-01-15
"32","Paseo del fuego shopping ushuaia","martes",19,53.25,2021-01-15
"33","Paseo del fuego shopping ushuaia","martes",20,43.5,2021-01-15
"34","Paseo del fuego shopping ushuaia","martes",21,0,2021-01-15
"35","Paseo del fuego shopping ushuaia","martes",22,0,2021-01-15
"36","Paseo del fuego shopping ushuaia","martes",23,0,2021-01-15
"37","Paseo del fuego shopping ushuaia","miercoles",6,0,2021-01-15
"38","Paseo del fuego shopping ushuaia","miercoles",7,0,2021-01-15
"39","Paseo del fuego shopping ushuaia","miercoles",8,0,2021-01-15
"40","Paseo del fuego shopping ushuaia","miercoles",9,0,2021-01-15
"41","Paseo del fuego shopping ushuaia","miercoles",10,0,2021-01-15
"42","Paseo del fuego shopping ushuaia","miercoles",11,25.5,2021-01-15
"43","Paseo del fuego shopping ushuaia","miercoles",12,33.75,2021-01-15
"44","Paseo del fuego shopping ushuaia","miercoles",13,38.25,2021-01-15
"45","Paseo del fuego shopping ushuaia","miercoles",14,39,2021-01-15
"46","Paseo del fuego shopping ushuaia","miercoles",15,39.75,2021-01-15
"47","Paseo del fuego shopping ushuaia","miercoles",16,43.5,2021-01-15
"48","Paseo del fuego shopping ushuaia","miercoles",17,50.25,2021-01-15
"49","Paseo del fuego shopping ushuaia","miercoles",18,55.5,2021-01-15
"50","Paseo del fuego shopping ushuaia","miercoles",19,54,2021-01-15
"51","Paseo del fuego shopping ushuaia","miercoles",20,43.5,2021-01-15
"52","Paseo del fuego shopping ushuaia","miercoles",21,0,2021-01-15
"53","Paseo del fuego shopping ushuaia","miercoles",22,0,2021-01-15
"54","Paseo del fuego shopping ushuaia","miercoles",23,0,2021-01-15
"55","Paseo del fuego shopping ushuaia","jueves",6,0,2021-01-15
"56","Paseo del fuego shopping ushuaia","jueves",7,0,2021-01-15
"57","Paseo del fuego shopping ushuaia","jueves",8,0,2021-01-15
"58","Paseo del fuego shopping ushuaia","jueves",9,0,2021-01-15
"59","Paseo del fuego shopping ushuaia","jueves",10,0,2021-01-15
"60","Paseo del fuego shopping ushuaia","jueves",11,24,2021-01-15
"61","Paseo del fuego shopping ushuaia","jueves",12,33,2021-01-15
"62","Paseo del fuego shopping ushuaia","jueves",13,39.75,2021-01-15
"63","Paseo del fuego shopping ushuaia","jueves",14,42.75,2021-01-15
"64","Paseo del fuego shopping ushuaia","jueves",15,42.75,2021-01-15
"65","Paseo del fuego shopping ushuaia","jueves",16,40.5,2021-01-15
"66","Paseo del fuego shopping ushuaia","jueves",17,40.5,2021-01-15
"67","Paseo del fuego shopping ushuaia","jueves",18,43.5,2021-01-15
"68","Paseo del fuego shopping ushuaia","jueves",19,45,2021-01-15
"69","Paseo del fuego shopping ushuaia","jueves",20,38.25,2021-01-15
"70","Paseo del fuego shopping ushuaia","jueves",21,0,2021-01-15
"71","Paseo del fuego shopping ushuaia","jueves",22,0,2021-01-15
"72","Paseo del fuego shopping ushuaia","jueves",23,0,2021-01-15
"73","Paseo del fuego shopping ushuaia","viernes",6,0,2021-01-15
"74","Paseo del fuego shopping ushuaia","viernes",7,0,2021-01-15
"75","Paseo del fuego shopping ushuaia","viernes",8,0,2021-01-15
"76","Paseo del fuego shopping ushuaia","viernes",9,0,2021-01-15
"77","Paseo del fuego shopping ushuaia","viernes",10,0,2021-01-15
"78","Paseo del fuego shopping ushuaia","viernes",11,20.25,2021-01-15
"79","Paseo del fuego shopping ushuaia","viernes",12,27,2021-01-15
"80","Paseo del fuego shopping ushuaia","viernes",13,33.75,2021-01-15
"81","Paseo del fuego shopping ushuaia","viernes",14,37.5,2021-01-15
"82","Paseo del fuego shopping ushuaia","viernes",15,39.75,2021-01-15
"83","Paseo del fuego shopping ushuaia","viernes",16,41.25,2021-01-15
"84","Paseo del fuego shopping ushuaia","viernes",17,45,2021-01-15
"85","Paseo del fuego shopping ushuaia","viernes",18,48,2021-01-15
"86","Paseo del fuego shopping ushuaia","viernes",19,47.25,2021-01-15
"87","Paseo del fuego shopping ushuaia","viernes",20,39.75,2021-01-15
"88","Paseo del fuego shopping ushuaia","viernes",21,0,2021-01-15
"89","Paseo del fuego shopping ushuaia","viernes",22,0,2021-01-15
"90","Paseo del fuego shopping ushuaia","viernes",23,0,2021-01-15
"91","Paseo del fuego shopping ushuaia","sabado",6,0,2021-01-15
"92","Paseo del fuego shopping ushuaia","sabado",7,0,2021-01-15
"93","Paseo del fuego shopping ushuaia","sabado",8,0,2021-01-15
"94","Paseo del fuego shopping ushuaia","sabado",9,0,2021-01-15
"95","Paseo del fuego shopping ushuaia","sabado",10,0,2021-01-15
