"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","andino gourmet ushuaia","lunes",6,0,2021-01-15
"2","andino gourmet ushuaia","lunes",7,0,2021-01-15
"3","andino gourmet ushuaia","lunes",8,20.25,2021-01-15
"4","andino gourmet ushuaia","lunes",9,33.75,2021-01-15
"5","andino gourmet ushuaia","lunes",10,45.75,2021-01-15
"6","andino gourmet ushuaia","lunes",11,48,2021-01-15
"7","andino gourmet ushuaia","lunes",12,41.25,2021-01-15
"8","andino gourmet ushuaia","lunes",13,33.75,2021-01-15
"9","andino gourmet ushuaia","lunes",14,35.25,2021-01-15
"10","andino gourmet ushuaia","lunes",15,45,2021-01-15
"11","andino gourmet ushuaia","lunes",16,56.25,2021-01-15
"12","andino gourmet ushuaia","lunes",17,63,2021-01-15
"13","andino gourmet ushuaia","lunes",18,60,2021-01-15
"14","andino gourmet ushuaia","lunes",19,49.5,2021-01-15
"15","andino gourmet ushuaia","lunes",20,34.5,2021-01-15
"16","andino gourmet ushuaia","lunes",21,21,2021-01-15
"17","andino gourmet ushuaia","lunes",22,12,2021-01-15
"18","andino gourmet ushuaia","lunes",23,0,2021-01-15
"19","andino gourmet ushuaia","martes",6,0,2021-01-15
"20","andino gourmet ushuaia","martes",7,0,2021-01-15
"21","andino gourmet ushuaia","martes",8,24,2021-01-15
"22","andino gourmet ushuaia","martes",9,36.75,2021-01-15
"23","andino gourmet ushuaia","martes",10,50.25,2021-01-15
"24","andino gourmet ushuaia","martes",11,59.25,2021-01-15
"25","andino gourmet ushuaia","martes",12,59.25,2021-01-15
"26","andino gourmet ushuaia","martes",13,51,2021-01-15
"27","andino gourmet ushuaia","martes",14,40.5,2021-01-15
"28","andino gourmet ushuaia","martes",15,33.75,2021-01-15
"29","andino gourmet ushuaia","martes",16,36,2021-01-15
"30","andino gourmet ushuaia","martes",17,45,2021-01-15
"31","andino gourmet ushuaia","martes",18,52.5,2021-01-15
"32","andino gourmet ushuaia","martes",19,51.75,2021-01-15
"33","andino gourmet ushuaia","martes",20,42,2021-01-15
"34","andino gourmet ushuaia","martes",21,28.5,2021-01-15
"35","andino gourmet ushuaia","martes",22,16.5,2021-01-15
"36","andino gourmet ushuaia","martes",23,0,2021-01-15
"37","andino gourmet ushuaia","miercoles",6,0,2021-01-15
"38","andino gourmet ushuaia","miercoles",7,0,2021-01-15
"39","andino gourmet ushuaia","miercoles",8,16.5,2021-01-15
"40","andino gourmet ushuaia","miercoles",9,27,2021-01-15
"41","andino gourmet ushuaia","miercoles",10,41.25,2021-01-15
"42","andino gourmet ushuaia","miercoles",11,54,2021-01-15
"43","andino gourmet ushuaia","miercoles",12,59.25,2021-01-15
"44","andino gourmet ushuaia","miercoles",13,56.25,2021-01-15
"45","andino gourmet ushuaia","miercoles",14,46.5,2021-01-15
"46","andino gourmet ushuaia","miercoles",15,38.25,2021-01-15
"47","andino gourmet ushuaia","miercoles",16,37.5,2021-01-15
"48","andino gourmet ushuaia","miercoles",17,44.25,2021-01-15
"49","andino gourmet ushuaia","miercoles",18,51.75,2021-01-15
"50","andino gourmet ushuaia","miercoles",19,50.25,2021-01-15
"51","andino gourmet ushuaia","miercoles",20,39,2021-01-15
"52","andino gourmet ushuaia","miercoles",21,24,2021-01-15
"53","andino gourmet ushuaia","miercoles",22,12.75,2021-01-15
"54","andino gourmet ushuaia","miercoles",23,0,2021-01-15
"55","andino gourmet ushuaia","jueves",6,0,2021-01-15
"56","andino gourmet ushuaia","jueves",7,0,2021-01-15
"57","andino gourmet ushuaia","jueves",8,22.5,2021-01-15
"58","andino gourmet ushuaia","jueves",9,30.75,2021-01-15
"59","andino gourmet ushuaia","jueves",10,38.25,2021-01-15
"60","andino gourmet ushuaia","jueves",11,42,2021-01-15
"61","andino gourmet ushuaia","jueves",12,41.25,2021-01-15
"62","andino gourmet ushuaia","jueves",13,35.25,2021-01-15
"63","andino gourmet ushuaia","jueves",14,28.5,2021-01-15
"64","andino gourmet ushuaia","jueves",15,25.5,2021-01-15
"65","andino gourmet ushuaia","jueves",16,30.75,2021-01-15
"66","andino gourmet ushuaia","jueves",17,42.75,2021-01-15
"67","andino gourmet ushuaia","jueves",18,53.25,2021-01-15
"68","andino gourmet ushuaia","jueves",19,54,2021-01-15
"69","andino gourmet ushuaia","jueves",20,42.75,2021-01-15
"70","andino gourmet ushuaia","jueves",21,27,2021-01-15
"71","andino gourmet ushuaia","jueves",22,15,2021-01-15
"72","andino gourmet ushuaia","jueves",23,0,2021-01-15
"73","andino gourmet ushuaia","viernes",6,0,2021-01-15
"74","andino gourmet ushuaia","viernes",7,0,2021-01-15
"75","andino gourmet ushuaia","viernes",8,24,2021-01-15
"76","andino gourmet ushuaia","viernes",9,36.75,2021-01-15
"77","andino gourmet ushuaia","viernes",10,48,2021-01-15
"78","andino gourmet ushuaia","viernes",11,50.25,2021-01-15
"79","andino gourmet ushuaia","viernes",12,45.75,2021-01-15
"80","andino gourmet ushuaia","viernes",13,39,2021-01-15
"81","andino gourmet ushuaia","viernes",14,36.75,2021-01-15
"82","andino gourmet ushuaia","viernes",15,38.25,2021-01-15
"83","andino gourmet ushuaia","viernes",16,42,2021-01-15
"84","andino gourmet ushuaia","viernes",17,45.75,2021-01-15
"85","andino gourmet ushuaia","viernes",18,45.75,2021-01-15
"86","andino gourmet ushuaia","viernes",19,42.75,2021-01-15
"87","andino gourmet ushuaia","viernes",20,37.5,2021-01-15
"88","andino gourmet ushuaia","viernes",21,30.75,2021-01-15
"89","andino gourmet ushuaia","viernes",22,23.25,2021-01-15
"90","andino gourmet ushuaia","viernes",23,16.5,2021-01-15
"91","andino gourmet ushuaia","sabado",6,0,2021-01-15
"92","andino gourmet ushuaia","sabado",7,0,2021-01-15
"93","andino gourmet ushuaia","sabado",8,0,2021-01-15
"94","andino gourmet ushuaia","sabado",9,31.5,2021-01-15
"95","andino gourmet ushuaia","sabado",10,45.75,2021-01-15
"96","andino gourmet ushuaia","sabado",11,53.25,2021-01-15
"97","andino gourmet ushuaia","sabado",12,49.5,2021-01-15
"98","andino gourmet ushuaia","sabado",13,42,2021-01-15
"99","andino gourmet ushuaia","sabado",14,38.25,2021-01-15
"100","andino gourmet ushuaia","sabado",15,42.75,2021-01-15
"101","andino gourmet ushuaia","sabado",16,54,2021-01-15
"102","andino gourmet ushuaia","sabado",17,66,2021-01-15
"103","andino gourmet ushuaia","sabado",18,74.25,2021-01-15
"104","andino gourmet ushuaia","sabado",19,75,2021-01-15
"105","andino gourmet ushuaia","sabado",20,67.5,2021-01-15
"106","andino gourmet ushuaia","sabado",21,54.75,2021-01-15
"107","andino gourmet ushuaia","sabado",22,39.75,2021-01-15
"108","andino gourmet ushuaia","sabado",23,26.25,2021-01-15
"109","andino gourmet ushuaia","domingo",6,0,2021-01-15
"110","andino gourmet ushuaia","domingo",7,0,2021-01-15
"111","andino gourmet ushuaia","domingo",8,0,2021-01-15
"112","andino gourmet ushuaia","domingo",9,0,2021-01-15
"113","andino gourmet ushuaia","domingo",10,0,2021-01-15
"114","andino gourmet ushuaia","domingo",11,0,2021-01-15
"115","andino gourmet ushuaia","domingo",12,24,2021-01-15
"116","andino gourmet ushuaia","domingo",13,33,2021-01-15
"117","andino gourmet ushuaia","domingo",14,35.25,2021-01-15
"118","andino gourmet ushuaia","domingo",15,32.25,2021-01-15
"119","andino gourmet ushuaia","domingo",16,31.5,2021-01-15
"120","andino gourmet ushuaia","domingo",17,39.75,2021-01-15
"121","andino gourmet ushuaia","domingo",18,53.25,2021-01-15
"122","andino gourmet ushuaia","domingo",19,61.5,2021-01-15
"123","andino gourmet ushuaia","domingo",20,56.25,2021-01-15
"124","andino gourmet ushuaia","domingo",21,39.75,2021-01-15
"125","andino gourmet ushuaia","domingo",22,21,2021-01-15
"126","andino gourmet ushuaia","domingo",23,0,2021-01-15
