"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","marcopolo freelife ushuaia","lunes",6,0,2021-01-15
"2","marcopolo freelife ushuaia","lunes",7,0,2021-01-15
"3","marcopolo freelife ushuaia","lunes",8,5.25,2021-01-15
"4","marcopolo freelife ushuaia","lunes",9,11.25,2021-01-15
"5","marcopolo freelife ushuaia","lunes",10,19.5,2021-01-15
"6","marcopolo freelife ushuaia","lunes",11,28.5,2021-01-15
"7","marcopolo freelife ushuaia","lunes",12,36,2021-01-15
"8","marcopolo freelife ushuaia","lunes",13,39.75,2021-01-15
"9","marcopolo freelife ushuaia","lunes",14,40.5,2021-01-15
"10","marcopolo freelife ushuaia","lunes",15,42,2021-01-15
"11","marcopolo freelife ushuaia","lunes",16,44.25,2021-01-15
"12","marcopolo freelife ushuaia","lunes",17,45.75,2021-01-15
"13","marcopolo freelife ushuaia","lunes",18,45,2021-01-15
"14","marcopolo freelife ushuaia","lunes",19,39,2021-01-15
"15","marcopolo freelife ushuaia","lunes",20,30,2021-01-15
"16","marcopolo freelife ushuaia","lunes",21,19.5,2021-01-15
"17","marcopolo freelife ushuaia","lunes",22,11.25,2021-01-15
"18","marcopolo freelife ushuaia","lunes",23,0,2021-01-15
"19","marcopolo freelife ushuaia","martes",6,0,2021-01-15
"20","marcopolo freelife ushuaia","martes",7,0,2021-01-15
"21","marcopolo freelife ushuaia","martes",8,9.75,2021-01-15
"22","marcopolo freelife ushuaia","martes",9,16.5,2021-01-15
"23","marcopolo freelife ushuaia","martes",10,24.75,2021-01-15
"24","marcopolo freelife ushuaia","martes",11,32.25,2021-01-15
"25","marcopolo freelife ushuaia","martes",12,36.75,2021-01-15
"26","marcopolo freelife ushuaia","martes",13,37.5,2021-01-15
"27","marcopolo freelife ushuaia","martes",14,35.25,2021-01-15
"28","marcopolo freelife ushuaia","martes",15,33.75,2021-01-15
"29","marcopolo freelife ushuaia","martes",16,36.75,2021-01-15
"30","marcopolo freelife ushuaia","martes",17,43.5,2021-01-15
"31","marcopolo freelife ushuaia","martes",18,49.5,2021-01-15
"32","marcopolo freelife ushuaia","martes",19,48,2021-01-15
"33","marcopolo freelife ushuaia","martes",20,37.5,2021-01-15
"34","marcopolo freelife ushuaia","martes",21,23.25,2021-01-15
"35","marcopolo freelife ushuaia","martes",22,11.25,2021-01-15
"36","marcopolo freelife ushuaia","martes",23,0,2021-01-15
"37","marcopolo freelife ushuaia","miercoles",6,0,2021-01-15
"38","marcopolo freelife ushuaia","miercoles",7,0,2021-01-15
"39","marcopolo freelife ushuaia","miercoles",8,6,2021-01-15
"40","marcopolo freelife ushuaia","miercoles",9,12.75,2021-01-15
"41","marcopolo freelife ushuaia","miercoles",10,22.5,2021-01-15
"42","marcopolo freelife ushuaia","miercoles",11,32.25,2021-01-15
"43","marcopolo freelife ushuaia","miercoles",12,39,2021-01-15
"44","marcopolo freelife ushuaia","miercoles",13,42,2021-01-15
"45","marcopolo freelife ushuaia","miercoles",14,39.75,2021-01-15
"46","marcopolo freelife ushuaia","miercoles",15,39,2021-01-15
"47","marcopolo freelife ushuaia","miercoles",16,42.75,2021-01-15
"48","marcopolo freelife ushuaia","miercoles",17,51,2021-01-15
"49","marcopolo freelife ushuaia","miercoles",18,56.25,2021-01-15
"50","marcopolo freelife ushuaia","miercoles",19,50.25,2021-01-15
"51","marcopolo freelife ushuaia","miercoles",20,35.25,2021-01-15
"52","marcopolo freelife ushuaia","miercoles",21,18.75,2021-01-15
"53","marcopolo freelife ushuaia","miercoles",22,7.5,2021-01-15
"54","marcopolo freelife ushuaia","miercoles",23,0,2021-01-15
"55","marcopolo freelife ushuaia","jueves",6,0,2021-01-15
"56","marcopolo freelife ushuaia","jueves",7,0,2021-01-15
"57","marcopolo freelife ushuaia","jueves",8,5.25,2021-01-15
"58","marcopolo freelife ushuaia","jueves",9,12.75,2021-01-15
"59","marcopolo freelife ushuaia","jueves",10,23.25,2021-01-15
"60","marcopolo freelife ushuaia","jueves",11,34.5,2021-01-15
"61","marcopolo freelife ushuaia","jueves",12,43.5,2021-01-15
"62","marcopolo freelife ushuaia","jueves",13,45.75,2021-01-15
"63","marcopolo freelife ushuaia","jueves",14,41.25,2021-01-15
"64","marcopolo freelife ushuaia","jueves",15,35.25,2021-01-15
"65","marcopolo freelife ushuaia","jueves",16,34.5,2021-01-15
"66","marcopolo freelife ushuaia","jueves",17,39,2021-01-15
"67","marcopolo freelife ushuaia","jueves",18,43.5,2021-01-15
"68","marcopolo freelife ushuaia","jueves",19,39.75,2021-01-15
"69","marcopolo freelife ushuaia","jueves",20,28.5,2021-01-15
"70","marcopolo freelife ushuaia","jueves",21,16.5,2021-01-15
"71","marcopolo freelife ushuaia","jueves",22,8.25,2021-01-15
"72","marcopolo freelife ushuaia","jueves",23,0,2021-01-15
"73","marcopolo freelife ushuaia","viernes",6,0,2021-01-15
"74","marcopolo freelife ushuaia","viernes",7,0,2021-01-15
"75","marcopolo freelife ushuaia","viernes",8,8.25,2021-01-15
"76","marcopolo freelife ushuaia","viernes",9,13.5,2021-01-15
"77","marcopolo freelife ushuaia","viernes",10,20.25,2021-01-15
"78","marcopolo freelife ushuaia","viernes",11,27,2021-01-15
"79","marcopolo freelife ushuaia","viernes",12,32.25,2021-01-15
"80","marcopolo freelife ushuaia","viernes",13,35.25,2021-01-15
"81","marcopolo freelife ushuaia","viernes",14,36,2021-01-15
"82","marcopolo freelife ushuaia","viernes",15,36,2021-01-15
"83","marcopolo freelife ushuaia","viernes",16,38.25,2021-01-15
"84","marcopolo freelife ushuaia","viernes",17,42,2021-01-15
"85","marcopolo freelife ushuaia","viernes",18,44.25,2021-01-15
"86","marcopolo freelife ushuaia","viernes",19,42,2021-01-15
"87","marcopolo freelife ushuaia","viernes",20,33.75,2021-01-15
"88","marcopolo freelife ushuaia","viernes",21,23.25,2021-01-15
"89","marcopolo freelife ushuaia","viernes",22,15,2021-01-15
"90","marcopolo freelife ushuaia","viernes",23,0,2021-01-15
"91","marcopolo freelife ushuaia","sabado",6,0,2021-01-15
"92","marcopolo freelife ushuaia","sabado",7,0,2021-01-15
"93","marcopolo freelife ushuaia","sabado",8,5.25,2021-01-15
"94","marcopolo freelife ushuaia","sabado",9,13.5,2021-01-15
"95","marcopolo freelife ushuaia","sabado",10,27,2021-01-15
"96","marcopolo freelife ushuaia","sabado",11,41.25,2021-01-15
"97","marcopolo freelife ushuaia","sabado",12,48.75,2021-01-15
"98","marcopolo freelife ushuaia","sabado",13,45,2021-01-15
"99","marcopolo freelife ushuaia","sabado",14,38.25,2021-01-15
"100","marcopolo freelife ushuaia","sabado",15,38.25,2021-01-15
"101","marcopolo freelife ushuaia","sabado",16,50.25,2021-01-15
"102","marcopolo freelife ushuaia","sabado",17,66.75,2021-01-15
"103","marcopolo freelife ushuaia","sabado",18,75,2021-01-15
"104","marcopolo freelife ushuaia","sabado",19,66.75,2021-01-15
"105","marcopolo freelife ushuaia","sabado",20,47.25,2021-01-15
"106","marcopolo freelife ushuaia","sabado",21,26.25,2021-01-15
"107","marcopolo freelife ushuaia","sabado",22,12,2021-01-15
"108","marcopolo freelife ushuaia","sabado",23,0,2021-01-15
"109","marcopolo freelife ushuaia","domingo",6,0,2021-01-15
"110","marcopolo freelife ushuaia","domingo",7,0,2021-01-15
"111","marcopolo freelife ushuaia","domingo",8,2.25,2021-01-15
"112","marcopolo freelife ushuaia","domingo",9,3.75,2021-01-15
"113","marcopolo freelife ushuaia","domingo",10,6,2021-01-15
"114","marcopolo freelife ushuaia","domingo",11,8.25,2021-01-15
"115","marcopolo freelife ushuaia","domingo",12,9,2021-01-15
"116","marcopolo freelife ushuaia","domingo",13,9,2021-01-15
"117","marcopolo freelife ushuaia","domingo",14,7.5,2021-01-15
"118","marcopolo freelife ushuaia","domingo",15,7.5,2021-01-15
"119","marcopolo freelife ushuaia","domingo",16,11.25,2021-01-15
"120","marcopolo freelife ushuaia","domingo",17,18,2021-01-15
"121","marcopolo freelife ushuaia","domingo",18,21,2021-01-15
"122","marcopolo freelife ushuaia","domingo",19,17.25,2021-01-15
"123","marcopolo freelife ushuaia","domingo",20,11.25,2021-01-15
"124","marcopolo freelife ushuaia","domingo",21,8.25,2021-01-15
"125","marcopolo freelife ushuaia","domingo",22,6.75,2021-01-15
"126","marcopolo freelife ushuaia","domingo",23,0,2021-01-15
