"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","monumento galicia en ushuaia","lunes",4,12,2021-01-15
"2","monumento galicia en ushuaia","lunes",5,12,2021-01-15
"3","monumento galicia en ushuaia","lunes",6,12,2021-01-15
"4","monumento galicia en ushuaia","lunes",7,12,2021-01-15
"5","monumento galicia en ushuaia","lunes",8,12,2021-01-15
"6","monumento galicia en ushuaia","lunes",9,12.75,2021-01-15
"7","monumento galicia en ushuaia","lunes",10,15,2021-01-15
"8","monumento galicia en ushuaia","lunes",11,15.75,2021-01-15
"9","monumento galicia en ushuaia","lunes",12,15,2021-01-15
"10","monumento galicia en ushuaia","lunes",13,13.5,2021-01-15
"11","monumento galicia en ushuaia","lunes",14,15,2021-01-15
"12","monumento galicia en ushuaia","lunes",15,18.75,2021-01-15
"13","monumento galicia en ushuaia","lunes",16,26.25,2021-01-15
"14","monumento galicia en ushuaia","lunes",17,33,2021-01-15
"15","monumento galicia en ushuaia","lunes",18,34.5,2021-01-15
"16","monumento galicia en ushuaia","lunes",19,30.75,2021-01-15
"17","monumento galicia en ushuaia","lunes",20,23.25,2021-01-15
"18","monumento galicia en ushuaia","lunes",21,16.5,2021-01-15
"19","monumento galicia en ushuaia","lunes",22,13.5,2021-01-15
"20","monumento galicia en ushuaia","lunes",23,12.75,2021-01-15
"21","monumento galicia en ushuaia","lunes",24,12,2021-01-15
"22","monumento galicia en ushuaia","lunes",25,12,2021-01-15
"23","monumento galicia en ushuaia","lunes",26,12,2021-01-15
"24","monumento galicia en ushuaia","lunes",27,12,2021-01-15
"25","monumento galicia en ushuaia","martes",4,10.5,2021-01-15
"26","monumento galicia en ushuaia","martes",5,9.75,2021-01-15
"27","monumento galicia en ushuaia","martes",6,9.75,2021-01-15
"28","monumento galicia en ushuaia","martes",7,9,2021-01-15
"29","monumento galicia en ushuaia","martes",8,8.25,2021-01-15
"30","monumento galicia en ushuaia","martes",9,7.5,2021-01-15
"31","monumento galicia en ushuaia","martes",10,7.5,2021-01-15
"32","monumento galicia en ushuaia","martes",11,7.5,2021-01-15
"33","monumento galicia en ushuaia","martes",12,9,2021-01-15
"34","monumento galicia en ushuaia","martes",13,11.25,2021-01-15
"35","monumento galicia en ushuaia","martes",14,16.5,2021-01-15
"36","monumento galicia en ushuaia","martes",15,24.75,2021-01-15
"37","monumento galicia en ushuaia","martes",16,33,2021-01-15
"38","monumento galicia en ushuaia","martes",17,37.5,2021-01-15
"39","monumento galicia en ushuaia","martes",18,36.75,2021-01-15
"40","monumento galicia en ushuaia","martes",19,30.75,2021-01-15
"41","monumento galicia en ushuaia","martes",20,23.25,2021-01-15
"42","monumento galicia en ushuaia","martes",21,17.25,2021-01-15
"43","monumento galicia en ushuaia","martes",22,13.5,2021-01-15
"44","monumento galicia en ushuaia","martes",23,12,2021-01-15
"45","monumento galicia en ushuaia","martes",24,11.25,2021-01-15
"46","monumento galicia en ushuaia","martes",25,11.25,2021-01-15
"47","monumento galicia en ushuaia","martes",26,11.25,2021-01-15
"48","monumento galicia en ushuaia","martes",27,10.5,2021-01-15
"49","monumento galicia en ushuaia","miercoles",4,7.5,2021-01-15
"50","monumento galicia en ushuaia","miercoles",5,6,2021-01-15
"51","monumento galicia en ushuaia","miercoles",6,6.75,2021-01-15
"52","monumento galicia en ushuaia","miercoles",7,7.5,2021-01-15
"53","monumento galicia en ushuaia","miercoles",8,9.75,2021-01-15
"54","monumento galicia en ushuaia","miercoles",9,12,2021-01-15
"55","monumento galicia en ushuaia","miercoles",10,13.5,2021-01-15
"56","monumento galicia en ushuaia","miercoles",11,14.25,2021-01-15
"57","monumento galicia en ushuaia","miercoles",12,14.25,2021-01-15
"58","monumento galicia en ushuaia","miercoles",13,14.25,2021-01-15
"59","monumento galicia en ushuaia","miercoles",14,15.75,2021-01-15
"60","monumento galicia en ushuaia","miercoles",15,20.25,2021-01-15
"61","monumento galicia en ushuaia","miercoles",16,27.75,2021-01-15
"62","monumento galicia en ushuaia","miercoles",17,34.5,2021-01-15
"63","monumento galicia en ushuaia","miercoles",18,36,2021-01-15
"64","monumento galicia en ushuaia","miercoles",19,30.75,2021-01-15
"65","monumento galicia en ushuaia","miercoles",20,24,2021-01-15
"66","monumento galicia en ushuaia","miercoles",21,19.5,2021-01-15
"67","monumento galicia en ushuaia","miercoles",22,18,2021-01-15
"68","monumento galicia en ushuaia","miercoles",23,18,2021-01-15
"69","monumento galicia en ushuaia","miercoles",24,16.5,2021-01-15
"70","monumento galicia en ushuaia","miercoles",25,15,2021-01-15
"71","monumento galicia en ushuaia","miercoles",26,12,2021-01-15
"72","monumento galicia en ushuaia","miercoles",27,9.75,2021-01-15
"73","monumento galicia en ushuaia","jueves",4,9,2021-01-15
"74","monumento galicia en ushuaia","jueves",5,7.5,2021-01-15
"75","monumento galicia en ushuaia","jueves",6,6.75,2021-01-15
"76","monumento galicia en ushuaia","jueves",7,6.75,2021-01-15
"77","monumento galicia en ushuaia","jueves",8,6.75,2021-01-15
"78","monumento galicia en ushuaia","jueves",9,8.25,2021-01-15
"79","monumento galicia en ushuaia","jueves",10,9.75,2021-01-15
"80","monumento galicia en ushuaia","jueves",11,10.5,2021-01-15
"81","monumento galicia en ushuaia","jueves",12,12,2021-01-15
"82","monumento galicia en ushuaia","jueves",13,13.5,2021-01-15
"83","monumento galicia en ushuaia","jueves",14,16.5,2021-01-15
"84","monumento galicia en ushuaia","jueves",15,22.5,2021-01-15
"85","monumento galicia en ushuaia","jueves",16,29.25,2021-01-15
"86","monumento galicia en ushuaia","jueves",17,34.5,2021-01-15
"87","monumento galicia en ushuaia","jueves",18,36.75,2021-01-15
"88","monumento galicia en ushuaia","jueves",19,33.75,2021-01-15
"89","monumento galicia en ushuaia","jueves",20,27.75,2021-01-15
"90","monumento galicia en ushuaia","jueves",21,21,2021-01-15
"91","monumento galicia en ushuaia","jueves",22,16.5,2021-01-15
