"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","sportclub cabildo","lunes",6,0,2021-01-14
"2","sportclub cabildo","lunes",7,0.75,2021-01-14
"3","sportclub cabildo","lunes",8,3.75,2021-01-14
"4","sportclub cabildo","lunes",9,21.75,2021-01-14
"5","sportclub cabildo","lunes",10,36.75,2021-01-14
"6","sportclub cabildo","lunes",11,35.25,2021-01-14
"7","sportclub cabildo","lunes",12,24.75,2021-01-14
"8","sportclub cabildo","lunes",13,22.5,2021-01-14
"9","sportclub cabildo","lunes",14,27,2021-01-14
"10","sportclub cabildo","lunes",15,27,2021-01-14
"11","sportclub cabildo","lunes",16,23.25,2021-01-14
"12","sportclub cabildo","lunes",17,23.25,2021-01-14
"13","sportclub cabildo","lunes",18,31.5,2021-01-14
"14","sportclub cabildo","lunes",19,35.25,2021-01-14
"15","sportclub cabildo","lunes",20,24,2021-01-14
"16","sportclub cabildo","lunes",21,7.5,2021-01-14
"17","sportclub cabildo","lunes",22,0.75,2021-01-14
"18","sportclub cabildo","lunes",23,0,2021-01-14
"19","sportclub cabildo","martes",6,0,2021-01-14
"20","sportclub cabildo","martes",7,0.75,2021-01-14
"21","sportclub cabildo","martes",8,6.75,2021-01-14
"22","sportclub cabildo","martes",9,18.75,2021-01-14
"23","sportclub cabildo","martes",10,25.5,2021-01-14
"24","sportclub cabildo","martes",11,23.25,2021-01-14
"25","sportclub cabildo","martes",12,15.75,2021-01-14
"26","sportclub cabildo","martes",13,12.75,2021-01-14
"27","sportclub cabildo","martes",14,11.25,2021-01-14
"28","sportclub cabildo","martes",15,12.75,2021-01-14
"29","sportclub cabildo","martes",16,18,2021-01-14
"30","sportclub cabildo","martes",17,30.75,2021-01-14
"31","sportclub cabildo","martes",18,48,2021-01-14
"32","sportclub cabildo","martes",19,60.75,2021-01-14
"33","sportclub cabildo","martes",20,60,2021-01-14
"34","sportclub cabildo","martes",21,45,2021-01-14
"35","sportclub cabildo","martes",22,26.25,2021-01-14
"36","sportclub cabildo","martes",23,0,2021-01-14
"37","sportclub cabildo","miercoles",6,0,2021-01-14
"38","sportclub cabildo","miercoles",7,5.25,2021-01-14
"39","sportclub cabildo","miercoles",8,12.75,2021-01-14
"40","sportclub cabildo","miercoles",9,21.75,2021-01-14
"41","sportclub cabildo","miercoles",10,30.75,2021-01-14
"42","sportclub cabildo","miercoles",11,38.25,2021-01-14
"43","sportclub cabildo","miercoles",12,41.25,2021-01-14
"44","sportclub cabildo","miercoles",13,39,2021-01-14
"45","sportclub cabildo","miercoles",14,33,2021-01-14
"46","sportclub cabildo","miercoles",15,24.75,2021-01-14
"47","sportclub cabildo","miercoles",16,18,2021-01-14
"48","sportclub cabildo","miercoles",17,21.75,2021-01-14
"49","sportclub cabildo","miercoles",18,45.75,2021-01-14
"50","sportclub cabildo","miercoles",19,75,2021-01-14
"51","sportclub cabildo","miercoles",20,74.25,2021-01-14
"52","sportclub cabildo","miercoles",21,42,2021-01-14
"53","sportclub cabildo","miercoles",22,10.5,2021-01-14
"54","sportclub cabildo","miercoles",23,0,2021-01-14
"55","sportclub cabildo","jueves",6,0,2021-01-14
"56","sportclub cabildo","jueves",7,1.5,2021-01-14
"57","sportclub cabildo","jueves",8,14.25,2021-01-14
"58","sportclub cabildo","jueves",9,29.25,2021-01-14
"59","sportclub cabildo","jueves",10,34.5,2021-01-14
"60","sportclub cabildo","jueves",11,28.5,2021-01-14
"61","sportclub cabildo","jueves",12,22.5,2021-01-14
"62","sportclub cabildo","jueves",13,21.75,2021-01-14
"63","sportclub cabildo","jueves",14,21.75,2021-01-14
"64","sportclub cabildo","jueves",15,21,2021-01-14
"65","sportclub cabildo","jueves",16,24,2021-01-14
"66","sportclub cabildo","jueves",17,32.25,2021-01-14
"67","sportclub cabildo","jueves",18,42,2021-01-14
"68","sportclub cabildo","jueves",19,47.25,2021-01-14
"69","sportclub cabildo","jueves",20,43.5,2021-01-14
"70","sportclub cabildo","jueves",21,33.75,2021-01-14
"71","sportclub cabildo","jueves",22,20.25,2021-01-14
"72","sportclub cabildo","jueves",23,0,2021-01-14
"73","sportclub cabildo","viernes",6,0,2021-01-14
"74","sportclub cabildo","viernes",7,5.25,2021-01-14
"75","sportclub cabildo","viernes",8,14.25,2021-01-14
"76","sportclub cabildo","viernes",9,21.75,2021-01-14
"77","sportclub cabildo","viernes",10,24.75,2021-01-14
"78","sportclub cabildo","viernes",11,21.75,2021-01-14
"79","sportclub cabildo","viernes",12,15.75,2021-01-14
"80","sportclub cabildo","viernes",13,15.75,2021-01-14
"81","sportclub cabildo","viernes",14,22.5,2021-01-14
"82","sportclub cabildo","viernes",15,29.25,2021-01-14
"83","sportclub cabildo","viernes",16,29.25,2021-01-14
"84","sportclub cabildo","viernes",17,30.75,2021-01-14
"85","sportclub cabildo","viernes",18,39.75,2021-01-14
"86","sportclub cabildo","viernes",19,45.75,2021-01-14
"87","sportclub cabildo","viernes",20,32.25,2021-01-14
"88","sportclub cabildo","viernes",21,11.25,2021-01-14
"89","sportclub cabildo","viernes",22,0.75,2021-01-14
