"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"93","Carrefour ushuaia","sabado",8,0,2021-01-15
"94","Carrefour ushuaia","sabado",9,30,2021-01-15
"95","Carrefour ushuaia","sabado",10,46.5,2021-01-15
"96","Carrefour ushuaia","sabado",11,59.25,2021-01-15
"97","Carrefour ushuaia","sabado",12,66,2021-01-15
"98","Carrefour ushuaia","sabado",13,63.75,2021-01-15
"99","Carrefour ushuaia","sabado",14,55.5,2021-01-15
"100","Carrefour ushuaia","sabado",15,49.5,2021-01-15
"101","Carrefour ushuaia","sabado",16,52.5,2021-01-15
"102","Carrefour ushuaia","sabado",17,64.5,2021-01-15
"103","Carrefour ushuaia","sabado",18,75,2021-01-15
"104","Carrefour ushuaia","sabado",19,69.75,2021-01-15
"105","Carrefour ushuaia","sabado",20,48.75,2021-01-15
"106","Carrefour ushuaia","sabado",21,0,2021-01-15
"107","Carrefour ushuaia","sabado",22,0,2021-01-15
"108","Carrefour ushuaia","sabado",23,0,2021-01-15
"109","Carrefour ushuaia","domingo",6,0,2021-01-15
"110","Carrefour ushuaia","domingo",7,0,2021-01-15
"111","Carrefour ushuaia","domingo",8,0,2021-01-15
"112","Carrefour ushuaia","domingo",9,0,2021-01-15
"113","Carrefour ushuaia","domingo",10,27.75,2021-01-15
"114","Carrefour ushuaia","domingo",11,42,2021-01-15
"115","Carrefour ushuaia","domingo",12,49.5,2021-01-15
"116","Carrefour ushuaia","domingo",13,45.75,2021-01-15
"117","Carrefour ushuaia","domingo",14,34.5,2021-01-15
"118","Carrefour ushuaia","domingo",15,25.5,2021-01-15
"119","Carrefour ushuaia","domingo",16,27,2021-01-15
"120","Carrefour ushuaia","domingo",17,37.5,2021-01-15
"121","Carrefour ushuaia","domingo",18,45.75,2021-01-15
"122","Carrefour ushuaia","domingo",19,42,2021-01-15
"123","Carrefour ushuaia","domingo",20,27.75,2021-01-15
"124","Carrefour ushuaia","domingo",21,0,2021-01-15
"125","Carrefour ushuaia","domingo",22,0,2021-01-15
"126","Carrefour ushuaia","domingo",23,0,2021-01-15
