"","lugar","dia","hora","concurrencia","fecha.de.busqueda"
"1","sarkis","lunes",6,0,2021-01-15
"2","sarkis","lunes",7,0,2021-01-15
"3","sarkis","lunes",8,0,2021-01-15
"4","sarkis","lunes",9,0,2021-01-15
"5","sarkis","lunes",10,0,2021-01-15
"6","sarkis","lunes",11,3.75,2021-01-15
"7","sarkis","lunes",12,11.25,2021-01-15
"8","sarkis","lunes",13,18,2021-01-15
"9","sarkis","lunes",14,18.75,2021-01-15
"10","sarkis","lunes",15,0,2021-01-15
"11","sarkis","lunes",16,0,2021-01-15
"12","sarkis","lunes",17,0,2021-01-15
"13","sarkis","lunes",18,0,2021-01-15
"14","sarkis","lunes",19,18,2021-01-15
"15","sarkis","lunes",20,31.5,2021-01-15
"16","sarkis","lunes",21,39.75,2021-01-15
"17","sarkis","lunes",22,35.25,2021-01-15
"18","sarkis","lunes",23,22.5,2021-01-15
