"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"47","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",16,42.75,-34.5623517,-58.4425841,2021-03-29
"48","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",17,51,-34.5623517,-58.4425841,2021-03-29
"49","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",18,45,-34.5623517,-58.4425841,2021-03-29
"50","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",19,28.5,-34.5623517,-58.4425841,2021-03-29
"51","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",20,9.75,-34.5623517,-58.4425841,2021-03-29
"52","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",21,0,-34.5623517,-58.4425841,2021-03-29
"53","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",22,0,-34.5623517,-58.4425841,2021-03-29
"54","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",23,0,-34.5623517,-58.4425841,2021-03-29
"55","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",6,0,-34.5623517,-58.4425841,2021-03-29
"56","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",7,0,-34.5623517,-58.4425841,2021-03-29
"57","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",8,0,-34.5623517,-58.4425841,2021-03-29
"58","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",9,24,-34.5623517,-58.4425841,2021-03-29
"59","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",10,43.5,-34.5623517,-58.4425841,2021-03-29
"60","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",11,49.5,-34.5623517,-58.4425841,2021-03-29
"61","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",12,41.25,-34.5623517,-58.4425841,2021-03-29
"62","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",13,30.75,-34.5623517,-58.4425841,2021-03-29
"63","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",14,27,-34.5623517,-58.4425841,2021-03-29
"64","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",15,29.25,-34.5623517,-58.4425841,2021-03-29
"65","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",16,32.25,-34.5623517,-58.4425841,2021-03-29
"66","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",17,33,-34.5623517,-58.4425841,2021-03-29
"67","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",18,29.25,-34.5623517,-58.4425841,2021-03-29
"68","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",19,23.25,-34.5623517,-58.4425841,2021-03-29
"69","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",20,14.25,-34.5623517,-58.4425841,2021-03-29
"70","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",21,0,-34.5623517,-58.4425841,2021-03-29
"71","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",22,0,-34.5623517,-58.4425841,2021-03-29
"72","Mos Bakery &amp; More, Ciudad de Buenos Aires","jueves",23,0,-34.5623517,-58.4425841,2021-03-29
"73","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",6,0,-34.5623517,-58.4425841,2021-03-29
"74","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",7,0,-34.5623517,-58.4425841,2021-03-29
"75","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",8,0,-34.5623517,-58.4425841,2021-03-29
"76","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",9,21,-34.5623517,-58.4425841,2021-03-29
"77","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",10,36,-34.5623517,-58.4425841,2021-03-29
"78","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",11,42.75,-34.5623517,-58.4425841,2021-03-29
"79","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",12,39,-34.5623517,-58.4425841,2021-03-29
"80","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",13,31.5,-34.5623517,-58.4425841,2021-03-29
"81","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",14,27,-34.5623517,-58.4425841,2021-03-29
"82","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",15,27,-34.5623517,-58.4425841,2021-03-29
"83","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",16,27.75,-34.5623517,-58.4425841,2021-03-29
"84","Mos Bakery &amp; More, Ciudad de Buenos Aires","viernes",17,27,-34.5623517,-58.4425841,2021-03-29
