"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"44","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",13,56.25,-34.5933333,-58.4016667,2021-03-27
"45","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",14,47.25,-34.5933333,-58.4016667,2021-03-27
"46","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",15,45.75,-34.5933333,-58.4016667,2021-03-27
"47","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",16,50.25,-34.5933333,-58.4016667,2021-03-27
"48","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",17,56.25,-34.5933333,-58.4016667,2021-03-27
"49","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",18,57.75,-34.5933333,-58.4016667,2021-03-27
"50","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",19,52.5,-34.5933333,-58.4016667,2021-03-27
"51","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",20,42,-34.5933333,-58.4016667,2021-03-27
"52","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",21,28.5,-34.5933333,-58.4016667,2021-03-27
"53","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",22,15,-34.5933333,-58.4016667,2021-03-27
"54","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","miercoles",23,3.75,-34.5933333,-58.4016667,2021-03-27
"55","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",6,0,-34.5933333,-58.4016667,2021-03-27
"56","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",7,0.75,-34.5933333,-58.4016667,2021-03-27
"57","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",8,9.75,-34.5933333,-58.4016667,2021-03-27
"58","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",9,30,-34.5933333,-58.4016667,2021-03-27
"59","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",10,50.25,-34.5933333,-58.4016667,2021-03-27
"60","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",11,64.5,-34.5933333,-58.4016667,2021-03-27
"61","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",12,66.75,-34.5933333,-58.4016667,2021-03-27
"62","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",13,60,-34.5933333,-58.4016667,2021-03-27
"63","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",14,50.25,-34.5933333,-58.4016667,2021-03-27
"64","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",15,45,-34.5933333,-58.4016667,2021-03-27
"65","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",16,43.5,-34.5933333,-58.4016667,2021-03-27
"66","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",17,43.5,-34.5933333,-58.4016667,2021-03-27
"67","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",18,41.25,-34.5933333,-58.4016667,2021-03-27
"68","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",19,36,-34.5933333,-58.4016667,2021-03-27
"69","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",20,27.75,-34.5933333,-58.4016667,2021-03-27
"70","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",21,17.25,-34.5933333,-58.4016667,2021-03-27
"71","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",22,6.75,-34.5933333,-58.4016667,2021-03-27
"72","Honorio Resto &amp; Coffee, Ciudad de Buenos Aires","jueves",23,0.75,-34.5933333,-58.4016667,2021-03-27
