"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"44","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",13,62.25,-34.5919878,-58.3895072,2021-03-27
"45","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",14,62.25,-34.5919878,-58.3895072,2021-03-27
"46","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",15,60,-34.5919878,-58.3895072,2021-03-27
"47","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",16,55.5,-34.5919878,-58.3895072,2021-03-27
"48","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",17,51,-34.5919878,-58.3895072,2021-03-27
"49","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",18,49.5,-34.5919878,-58.3895072,2021-03-27
"50","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",19,54.75,-34.5919878,-58.3895072,2021-03-27
"51","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",20,63,-34.5919878,-58.3895072,2021-03-27
"52","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",21,63,-34.5919878,-58.3895072,2021-03-27
"53","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",22,49.5,-34.5919878,-58.3895072,2021-03-27
"54","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","miercoles",23,26.25,-34.5919878,-58.3895072,2021-03-27
"55","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",6,0,-34.5919878,-58.3895072,2021-03-27
"56","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",7,0.75,-34.5919878,-58.3895072,2021-03-27
"57","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",8,9.75,-34.5919878,-58.3895072,2021-03-27
"58","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",9,29.25,-34.5919878,-58.3895072,2021-03-27
"59","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",10,47.25,-34.5919878,-58.3895072,2021-03-27
"60","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",11,60,-34.5919878,-58.3895072,2021-03-27
"61","Bar &amp; Restaurant Squzi, Ciudad de Buenos Aires","jueves",12,69,-34.5919878,-58.3895072,2021-03-27
