"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"43","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",12,30,-34.5806932,-58.4149251,2021-03-26
"44","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",13,35.25,-34.5806932,-58.4149251,2021-03-26
"45","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",14,39,-34.5806932,-58.4149251,2021-03-26
"46","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",15,42.75,-34.5806932,-58.4149251,2021-03-26
"47","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",16,45,-34.5806932,-58.4149251,2021-03-26
"48","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",17,46.5,-34.5806932,-58.4149251,2021-03-26
"49","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",18,44.25,-34.5806932,-58.4149251,2021-03-26
"50","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",19,41.25,-34.5806932,-58.4149251,2021-03-26
"51","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",20,42.75,-34.5806932,-58.4149251,2021-03-26
"52","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",21,49.5,-34.5806932,-58.4149251,2021-03-26
"53","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",22,49.5,-34.5806932,-58.4149251,2021-03-26
"54","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","miercoles",23,35.25,-34.5806932,-58.4149251,2021-03-26
"55","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",6,0,-34.5806932,-58.4149251,2021-03-26
"56","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",7,0,-34.5806932,-58.4149251,2021-03-26
"57","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",8,0,-34.5806932,-58.4149251,2021-03-26
"58","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",9,11.25,-34.5806932,-58.4149251,2021-03-26
"59","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",10,20.25,-34.5806932,-58.4149251,2021-03-26
"60","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",11,27,-34.5806932,-58.4149251,2021-03-26
"61","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",12,30,-34.5806932,-58.4149251,2021-03-26
"62","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",13,29.25,-34.5806932,-58.4149251,2021-03-26
"63","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",14,29.25,-34.5806932,-58.4149251,2021-03-26
"64","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",15,33,-34.5806932,-58.4149251,2021-03-26
"65","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",16,37.5,-34.5806932,-58.4149251,2021-03-26
"66","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",17,37.5,-34.5806932,-58.4149251,2021-03-26
"67","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",18,35.25,-34.5806932,-58.4149251,2021-03-26
"68","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",19,35.25,-34.5806932,-58.4149251,2021-03-26
"69","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",20,42.75,-34.5806932,-58.4149251,2021-03-26
"70","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",21,51.75,-34.5806932,-58.4149251,2021-03-26
"71","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",22,51.75,-34.5806932,-58.4149251,2021-03-26
"72","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","jueves",23,39.75,-34.5806932,-58.4149251,2021-03-26
"73","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",6,0,-34.5806932,-58.4149251,2021-03-26
"74","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",7,0,-34.5806932,-58.4149251,2021-03-26
"75","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",8,0,-34.5806932,-58.4149251,2021-03-26
"76","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",9,8.25,-34.5806932,-58.4149251,2021-03-26
"77","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",10,15,-34.5806932,-58.4149251,2021-03-26
"78","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",11,21.75,-34.5806932,-58.4149251,2021-03-26
"79","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",12,27,-34.5806932,-58.4149251,2021-03-26
"80","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",13,30.75,-34.5806932,-58.4149251,2021-03-26
"81","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",14,33,-34.5806932,-58.4149251,2021-03-26
"82","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",15,36,-34.5806932,-58.4149251,2021-03-26
"83","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",16,39,-34.5806932,-58.4149251,2021-03-26
"84","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",17,39.75,-34.5806932,-58.4149251,2021-03-26
"85","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",18,36.75,-34.5806932,-58.4149251,2021-03-26
"86","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",19,37.5,-34.5806932,-58.4149251,2021-03-26
"87","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",20,48.75,-34.5806932,-58.4149251,2021-03-26
"88","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",21,66.75,-34.5806932,-58.4149251,2021-03-26
"89","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",22,75,-34.5806932,-58.4149251,2021-03-26
"90","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","viernes",23,62.25,-34.5806932,-58.4149251,2021-03-26
"91","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",6,0,-34.5806932,-58.4149251,2021-03-26
"92","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",7,0,-34.5806932,-58.4149251,2021-03-26
"93","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",8,0,-34.5806932,-58.4149251,2021-03-26
"94","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",9,12,-34.5806932,-58.4149251,2021-03-26
"95","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",10,21,-34.5806932,-58.4149251,2021-03-26
"96","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",11,29.25,-34.5806932,-58.4149251,2021-03-26
"97","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",12,34.5,-34.5806932,-58.4149251,2021-03-26
"98","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",13,34.5,-34.5806932,-58.4149251,2021-03-26
"99","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",14,32.25,-34.5806932,-58.4149251,2021-03-26
"100","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",15,35.25,-34.5806932,-58.4149251,2021-03-26
"101","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",16,46.5,-34.5806932,-58.4149251,2021-03-26
"102","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",17,57,-34.5806932,-58.4149251,2021-03-26
"103","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",18,54.75,-34.5806932,-58.4149251,2021-03-26
"104","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",19,43.5,-34.5806932,-58.4149251,2021-03-26
"105","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",20,41.25,-34.5806932,-58.4149251,2021-03-26
"106","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",21,48,-34.5806932,-58.4149251,2021-03-26
"107","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",22,51,-34.5806932,-58.4149251,2021-03-26
"108","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","sabado",23,41.25,-34.5806932,-58.4149251,2021-03-26
"109","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",6,0,-34.5806932,-58.4149251,2021-03-26
"110","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",7,0,-34.5806932,-58.4149251,2021-03-26
"111","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",8,0,-34.5806932,-58.4149251,2021-03-26
"112","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",9,12.75,-34.5806932,-58.4149251,2021-03-26
"113","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",10,19.5,-34.5806932,-58.4149251,2021-03-26
"114","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",11,21.75,-34.5806932,-58.4149251,2021-03-26
"115","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",12,26.25,-34.5806932,-58.4149251,2021-03-26
"116","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",13,37.5,-34.5806932,-58.4149251,2021-03-26
"117","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",14,50.25,-34.5806932,-58.4149251,2021-03-26
"118","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",15,56.25,-34.5806932,-58.4149251,2021-03-26
"119","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",16,52.5,-34.5806932,-58.4149251,2021-03-26
"120","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",17,46.5,-34.5806932,-58.4149251,2021-03-26
"121","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",18,43.5,-34.5806932,-58.4149251,2021-03-26
"122","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",19,44.25,-34.5806932,-58.4149251,2021-03-26
"123","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",20,45,-34.5806932,-58.4149251,2021-03-26
"124","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",21,40.5,-34.5806932,-58.4149251,2021-03-26
"125","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",22,31.5,-34.5806932,-58.4149251,2021-03-26
"126","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","domingo",23,19.5,-34.5806932,-58.4149251,2021-03-26
