"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"40","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",9,7.5,-34.5942189,-58.421006,2021-03-28
"41","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",10,14.25,-34.5942189,-58.421006,2021-03-28
"42","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",11,19.5,-34.5942189,-58.421006,2021-03-28
"43","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",12,21.75,-34.5942189,-58.421006,2021-03-28
"44","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",13,21,-34.5942189,-58.421006,2021-03-28
"45","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",14,18.75,-34.5942189,-58.421006,2021-03-28
"46","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",15,21,-34.5942189,-58.421006,2021-03-28
"47","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",16,30,-34.5942189,-58.421006,2021-03-28
"48","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",17,42.75,-34.5942189,-58.421006,2021-03-28
"49","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",18,50.25,-34.5942189,-58.421006,2021-03-28
"50","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",19,46.5,-34.5942189,-58.421006,2021-03-28
"51","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",20,33.75,-34.5942189,-58.421006,2021-03-28
"52","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",21,0,-34.5942189,-58.421006,2021-03-28
"53","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",22,0,-34.5942189,-58.421006,2021-03-28
"54","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","miercoles",23,0,-34.5942189,-58.421006,2021-03-28
"55","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",6,0,-34.5942189,-58.421006,2021-03-28
"56","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",7,0,-34.5942189,-58.421006,2021-03-28
"57","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",8,0,-34.5942189,-58.421006,2021-03-28
"58","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",9,10.5,-34.5942189,-58.421006,2021-03-28
"59","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",10,17.25,-34.5942189,-58.421006,2021-03-28
"60","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",11,23.25,-34.5942189,-58.421006,2021-03-28
"61","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",12,26.25,-34.5942189,-58.421006,2021-03-28
"62","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",13,26.25,-34.5942189,-58.421006,2021-03-28
"63","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",14,22.5,-34.5942189,-58.421006,2021-03-28
"64","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","jueves",15,18.75,-34.5942189,-58.421006,2021-03-28
